chr_id,lod_model_ref_01,lod_model_ref_02,lod_model_ref_03,lod_model_ref_04,lod_model_ref_05,lod_model_ref_06,lod_model_ref_07,lod_model_ref_08,lod_model_ref_09,lod_model_ref_10
"chr001","","chr001_LOD_2","","","","","","","",""
"chr002","","chr002_LOD_2","","","","","","","",""
"chr003","","chr003_LOD_2","","","","","","","",""
"chr004","","chr004_LOD_2","","","","","","","",""
"chr005","","chr005_LOD_2","","","","","","","",""
"chr006","","chr006_LOD_2","","","","","","","",""
"chr009","","chr009_LOD_2","","","","","","","",""
"chr010","","chr010_LOD_2","","","","","","","",""
"chr011","","chr011_LOD_2","","","","","","","",""
"chr012","","chr012_LOD_2","","","","","","","",""
"chr013","","chr013_LOD_2","","","","","","","",""
"chr014","","chr014_LOD_2","","","","","","","",""
"chr015","","chr015_LOD_2","","","","","","","",""
"chr016","","chr016_LOD_2","","","","","","","",""
"chr017","","chr017_LOD_2","","","","","","","",""
"chr019","","chr019_LOD_2","","","","","","","",""
"chr020","","chr020_LOD_2","","","","","","","",""
"chr021","","chr021_LOD_2","","","","","","","",""
"chr023","","chr023_LOD_2","","","","","","","",""
"chr024","","chr024_LOD_2","","","","","","","",""
"chr025","","chr025_LOD_2","","","","","","","",""
"chr026","","chr026_LOD_2","","","","","","","",""
"chr027","","chr027_LOD_2","","","","","","","",""
"chr028","","chr028_LOD_2","","","","","","","",""
"chr030","","chr030_LOD_2","","","","","","","",""
"chr031","","chr031_LOD_2","","","","","","","",""
"chr032","","chr032_LOD_2","","","","","","","",""
"chr033","","chr033_LOD_2","","","","","","","",""
"chr034","","chr034_LOD_2","","","","","","","",""
"chr035","","chr035_LOD_2","","","","","","","",""
"chr036","","chr036_LOD_2","","","","","","","",""
"chr037","","chr037_LOD_2","","","","","","","",""
"chr038","","chr038_LOD_2","","","","","","","",""
"chr039","","chr039_LOD_2","","","","","","","",""
"chr040","","chr040_LOD_2","","","","","","","",""
"chr041","","chr041_LOD_2","","","","","","","",""
"chr042","","chr042_LOD_2","","","","","","","",""
"chr043","","chr043_LOD_2","","","","","","","",""
"chr044","","chr044_LOD_2","","","","","","","",""
"chr045","","chr045_LOD_2","","","","","","","",""
"chr046","","chr046_LOD_2","","","","","","","",""
"chr047","","chr047_LOD_2","","","","","","","",""
"chr048","","chr048_LOD_2","","","","","","","",""
"chr049","","chr049_LOD_2","","","","","","","",""
"chr050","","chr050_LOD_2","","","","","","","",""
"chr051","","chr051_LOD_2","","","","","","","",""
"chr052","","chr052_LOD_2","","","","","","","",""
"chr053","","chr053_LOD_2","","","","","","","",""
"chr054","","chr054_LOD_2","","","","","","","",""
"chr055","","chr055_LOD_2","","","","","","","",""
"chr056","","chr056_LOD_2","","","","","","","",""
"chr057","","chr057_LOD_2","","","","","","","",""
"chr058","","chr058_LOD_2","","","","","","","",""
"chr059","","chr059_LOD_2","","","","","","","",""
"chr060","","chr060_LOD_2","","","","","","","",""
"chr061","","chr061_LOD_2","","","","","","","",""
"chr068","","chr068_LOD_2","","","","","","","",""
"chr069","","chr069_LOD_2","","","","","","","",""
"chr070","","chr070_LOD_2","","","","","","","",""
"chr071","","chr071_LOD_2","","","","","","","",""
"chr072","","chr072_LOD_2","","","","","","","",""
"chr073","","chr073_LOD_2","","","","","","","",""
"chr074","","chr074_LOD_2","","","","","","","",""
"chr075","","chr075_LOD_2","","","","","","","",""
"chr076","","chr076_LOD_2","","","","","","","",""
"chr077","","chr077_LOD_2","","","","","","","",""
"chr078","","chr078_LOD_2","","","","","","","",""
"chr079","","chr079_LOD_2","","","","","","","",""
"chr080","","chr080_LOD_2","","","","","","","",""
"chr081","","chr081_LOD_2","","","","","","","",""
"chr082","","chr082_LOD_2","","","","","","","",""
"chr083","","chr083_LOD_2","","","","","","","",""
"chr084","","chr084_LOD_2","","","","","","","",""
"chr085","","chr085_LOD_2","","","","","","","",""
"chr086","","chr086_LOD_2","","","","","","","",""
"chr087","","chr087_LOD_2","","","","","","","",""
"chr088","","chr088_LOD_2","","","","","","","",""
"chr090","","chr090_LOD_2","","","","","","","",""
"chr091","","chr091_LOD_2","","","","","","","",""
"chr092","","chr092_LOD_2","","","","","","","",""
"chr093","","chr093_LOD_2","","","","","","","",""
"chr094","","chr094_LOD_2","","","","","","","",""
"chr095","","chr095_LOD_2","","","","","","","",""
"chr096","","chr096_LOD_2","","","","","","","",""
"chr097","","chr097_LOD_2","","","","","","","",""
"chr098","","chr098_LOD_2","","","","","","","",""
"chr100","","chr100_LOD_2","","","","","","","",""
"chr101","","chr101_LOD_2","","","","","","","",""
"chr102","","chr102_LOD_2","","","","","","","",""
"chr103","","chr103_LOD_2","","","","","","","",""
"chr104","","chr104_LOD_2","","","","","","","",""
"chr105","","chr105_LOD_2","","","","","","","",""
"chr106","","chr106_LOD_2","","","","","","","",""
"chr107","","chr107_LOD_2","","","","","","","",""
"chr111","","chr111_LOD_2","","","","","","","",""
"chr112","","chr112_LOD_2","","","","","","","",""
"chr113","","chr113_LOD_2","","","","","","","",""
"chr114","","chr114_LOD_2","","","","","","","",""
"chr115","","chr115_LOD_2","","","","","","","",""
"chr116","","chr116_LOD_2","","","","","","","",""
"chr117","","chr117_LOD_2","","","","","","","",""
"chr118","","chr118_LOD_2","","","","","","","",""
"chr126","","chr126_LOD_2","","","","","","","",""
"chr127","","chr127_LOD_2","","","","","","","",""
"chr128","","chr128_LOD_2","","","","","","","",""
"chr129","","chr129_LOD_2","","","","","","","",""
