string2 0,string 1,string 2,string 3
"arena01_f001_001_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_001_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_001_030","char_ETEMON","These guys are ""Searching for Nanimon""! And they hail from
some unknown Digital World!",""
"arena01_f001_001_040","char_BOTAMON","C'mon, can't we call it quits already? Seriously...",""
"arena01_f001_001_041","char_DIGITAMAMON","Nanimon... is my friend... We'll be together... forever...",""
"arena01_f001_001_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
"arena01_f001_001_060","char_ETEMON","The winner is... the champion team!",""
"arena01_f001_002_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_002_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_002_030","char_ETEMON","The strength of their shells is only matched by that of
their resolve! It's the ""Kings of Big Bad Bugs""!",""
"arena01_f001_002_040","char_TENTOMON","Look at my carapace! Look, I say! See just how hard and
tough it is?!",""
"arena01_f001_002_041","char_FUNBEEMON","Don't say ""carapace""! Just say ""shell"" like everyone else does!
Who are you trying to kid, using ""buzz"" words like that?",""
"arena01_f001_002_042","char_TENTOMON","Eh? ""Kid""? Who are ya callin' a kid? I ain't no kid.",""
"arena01_f001_002_043","char_SNIMON","Just shut up.",""
"arena01_f001_002_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
"arena01_f001_002_060","char_ETEMON","The winner is... the champion team!",""
"arena01_f001_003_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_003_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_003_030","char_ETEMON","""Monzaemon and Friends"" are here! They sure do look
familiar, but I'll be damned if I can remember 'em!",""
"arena01_f001_003_040","char_MONZAEMON","Hey, got any of that good stuff on you? You know...
That sticky, gooey, golden, yummy, sweet stuff.",""
"arena01_f001_003_041","char_SABERLEOMON","I cannot wait... I wish to fly! I wish to jump! I wish to
hop up and down!",""
"arena01_f001_003_042","char_YUNIMON","Hahaha... I suppose this is simply who we are as Digimon...",""
"arena01_f001_003_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
"arena01_f001_003_060","char_ETEMON","The winner is... the champion team!",""
"arena01_f001_004_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_004_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_004_030","char_ETEMON","He burns so fierce that he engulfs all in his path! The
Paradise Colosseum's watchman makes his fiery return!",""
"arena01_f001_004_040","char_DEATHMERAMON","My hundredth victim... This calls for a celebration. Heh.
I'm always eager to add to my collection.",""
"arena01_f001_004_041","char_DEATHMERAMON","Eh? Who're you?!",""
"arena01_f001_004_042","char_DEATHMERAMON","Hmm. You kinda look like... Could you be relatives, maybe?
You know, the one living in Central Town...?",""
"arena01_f001_004_043","char_DEATHMERAMON","Wait. I thought you died from an ingrown toenail... Eh? No
way! Does this mean... you're a ghost?!",""
"arena01_f001_004_044","char_DEATHMERAMON","Aaaaaaagh! You're starting to scare me! For real!",""
"arena01_f001_004_045","char_DEATHMERAMON","Please, just die already! I've had enough of this!",""
"arena01_f001_004_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
"arena01_f001_004_060","char_ETEMON","The winner is... the champion team!",""
"arena01_f001_005_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_005_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_005_030","char_ETEMON","There are no lies to be told here... Okay, that was a lie!
Yep, somebody's definitely lying right now!",""
"arena01_f001_005_040","char_WHAMON","Whale, I know Puppetmon is telling the truth!",""
"arena01_f001_005_041","char_PINOCHIMON","Lillymon never ever lies!",""
"arena01_f001_005_042","char_LILLYMON","I've never seen either Whamon or Puppetmon lie.",""
"arena01_f001_005_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
"arena01_f001_005_060","char_ETEMON","The winner is... the champion team!",""
"arena01_f001_006_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_006_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_006_030","char_ETEMON","3.8 billion YEN in debt! The circus ""No Misreckoning"" has
brought in a heavy hitter to get them back in the black!",""
"arena01_f001_006_040","char_BANCHOLEOMON","The circus has been tricked! Absolutely swindled!
We're talking some serious sums, here!",""
"arena01_f001_006_041","char_BANCHOLEOMON","Are these the ones who took your money?!",""
"arena01_f001_006_042","char_PIEDMON","Haha! Yes, that's correct... I-I look forward to your
assistance. Hahahaha!",""
"arena01_f001_006_043","char_SKULLMAMMON","I'm not sure how I feel about this... Aren't you supposed
to be our esteemed ringleader?",""
"arena01_f001_006_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
"arena01_f001_006_060","char_ETEMON","The winner is... the champion team!",""
"arena01_f001_007_010","char_ETEMON","We've kept you waiting long enough!
The fighters will now enter the arena!","m320_020_010"
"arena01_f001_007_020","char_ETEMON","The almighty champions make their triumphant return
to the Paradise Colosseum!",""
"arena01_f001_007_030","char_ETEMON","Coincidence? Or strategy? They had one bye after another!
Are they any good? Who knows? That's quite a smell, though!",""
"arena01_f001_007_040","char_SUKAMON","I'm getting tired of everyone refusing to fight us!",""
"arena01_f001_007_041","char_SUKAMON","I'm ready to give this fight everything I've got!",""
"arena01_f001_007_042","char_PLATINUM_SCUMON","Whether it's a lucky win or just a bye, it's still a
victory earned through blood, sweat and tears!",""
"arena01_f001_007_050","char_ETEMON","Aaand now... let's get this match OOOOON!","m320_020_040"
