string2 0,string 1,string 2,string 3
"f_d1401_0010_0010","char_PROTECTED_GIRL","This elevator isn't moving.",""
"f_d1401_0010_0020","char_PROTECTED_GIRL","Maybe there's another elevator somewhere?",""
"f_d1401_0030_0010","char_OPERATOR_M","Are you using the stairs to get to the roof? Why not try
the elevator?",""
"f_d1401_0040_0010","char_OPERATOR_M","It was recently discovered that Digimon had characteristics
of both organic matter and electric signals.","f_d1401_0040_0010_M f_d1401_0040_0010_F"
"f_d1401_0040_0020","char_OPERATOR_M","Your Digivice uses the electronic aspects of Digimon to
summon them into action.","f_d1401_0040_0020_M f_d1401_0040_0020_F"
"f_d1401_0040_0030","char_OPERATOR_M","The Digivice can also convert the Digimon equivalent of DNA
into binary code, which can then be replicated like data.","f_d1401_0040_0030_M f_d1401_0040_0030_F"
"f_d1401_0040_0040","char_OPERATOR_M","We call this system of creating new Digimon ""{fc9Converting}.""
Try using this feature to augment your forces.","f_d1401_0040_0040_M f_d1401_0040_0040_F"
"f_d1401_0050_0010","char_PROTECTED_GIRL","Phew... It looks like we made it somehow.",""
"f_d1401_0050_0020","char_PROTECTED_GIRL","I don't want to witness all this fighting. Let's see how high the 
elevator can take us.",""
"f_d1401_0060_0010","char_OPERATOR_M","What happened here...?","f_d1401_0060_0010_M f_d1401_0060_0010_F"
"f_d1401_0060_0015","char_OPERATOR_M","Could this be what the Wall was built to hide...?","f_d1401_0060_0015_M f_d1401_0060_0015_F"
"f_d1401_0060_0020","char_OPERATOR_M","Maybe something's happening on the roof of this building
like that girl said...","f_d1401_0060_0020_M f_d1401_0060_0020_F"
"f_d1401_0060_0030","char_OPERATOR_M","We can't ignore this. Cast aside common sense here.
Anomalies always take a turn for the unexpected.","f_d1401_0060_0030_M f_d1401_0060_0030_F"
"f_d1401_0060_0040","char_OPERATOR_M","Target coordinates set to ""Tokyo Metropolitan Government 
Building rooftop."" Your first priority is to find a way up.","f_d1401_0060_0040_M f_d1401_0060_0040_F"
"f_d1401_0070_0010","char_OPERATOR_M","Right now, you should head to the roof of the government
building.",""
"f_d1402_0010_0010","char_PROTECTED_GIRL","You know, I have a feeling that elevator works...",""
"f_d1402_0010_0020","char_PROTECTED_GIRL","Maybe we can get there from the other side? Let's find a way!",""
"f_d1402_0030_0010","char_OPERATOR_M","I have a report for you, Agent. The latest update patch is
available for your Digivice.",""
"f_d1402_0030_0020","char_OPERATOR_M","You now have access to Agent Skills. They should be a great
help in executing your mission. Go on. Give them a try.",""
"f_d1403_0010_0010","char_PROTECTED_GIRL","We have to go to the south wing to get to the roof.
I wonder if we can get there from the other side...",""
"f_d1403_0020_0010","char_OPERATOR_M","Your Digivice also has an {fc9Analyze} {l2} function.","f_d1403_0020_0010_M f_d1403_0020_0010_F"
"f_d1403_0020_0020","char_OPERATOR_M","It instantly scans your surroundings and marks anything
suspicious. The Digimon in your Digivice help with this.","f_d1403_0020_0020_M f_d1403_0020_0020_F"
"f_d1403_0020_0030","char_OPERATOR_M","Their sense of sight and smell helps pinpoint places of concern.
A useful feature when you're unsure of where to go.","f_d1403_0020_0030_M f_d1403_0020_0030_F"
"f_d1403_0030_0010","","There's a wall here that could collapse at any moment.",""
"f_d1405_0010_0010","char_PIYOMON","Thank you for the help! And good luck!",""
"f_d1405_0020_0010","","It doesn't look like we can get back this way.",""
"f_d1405_0030_0010","","It looks like it could be destroyed with a DigiAttack {r2}.",""
