string2 0,string 1,string 2,string 3
"aigio_001_0_char_AEGIOMON","char_AEGIOMON","Make sure you look after me, okay? Otherwise, I just might 
have to play my pipes here...",""
"aigio_001_1_replay","char_PLAYER_M","Wanna try controlling me with them?",""
"aigio_001_1_reaction_char_AEGIOMON","char_AEGIOMON","I dunno... For some reason, I get the feeling it wouldn't work...",""
"aigio_001_2_replay","char_PLAYER_M","What do they sound like?",""
"aigio_001_2_reaction_char_AEGIOMON","char_AEGIOMON","Actually... I don't know. Everyone hears them differently.",""
"aigio_001_3_replay","char_PLAYER_M","Don't worry. I'll watch over you.",""
"aigio_001_3_reaction_char_AEGIOMON","char_AEGIOMON","...Yeah, you're right. I know you'll take good care of me.",""
"aigio_001_4_replay","char_PLAYER_M","You're all I care about.",""
"aigio_001_4_reaction_char_AEGIOMON","char_AEGIOMON","Even without playing my pipes...? Wow, thanks! I'll take 
good care of you, too.",""
"blimp_001_0_char_BLIMPMON","char_BLIMPMON","Where do ya wanna go? If I can go there, I'll take ya!",""
"blimp_001_1_replay","char_PLAYER_M","Somewhere no one's ever been to before.",""
"blimp_001_1_reaction_char_BLIMPMON","char_BLIMPMON","You wanna go on an adventure? A brave request... but, okay!",""
"blimp_001_2_replay","char_PLAYER_M","Somewhere I don't know about yet.",""
"blimp_001_2_reaction_char_BLIMPMON","char_BLIMPMON","The world's a big place, huh? Bet we can learn lots by 
going to different places!",""
"blimp_001_3_replay","char_PLAYER_M","Anywhere, if it's with you.",""
"blimp_001_3_reaction_char_BLIMPMON","char_BLIMPMON","Hehe. It's kinda embarrassing when ya say it out loud... 
but I feel the same way!",""
"blimp_001_4_replay","char_PLAYER_M","A place where you can rest.",""
"blimp_001_4_reaction_char_BLIMPMON","char_BLIMPMON","Hehe. Thanks. Just you saying that gives me strength!",""
"aigiou_001_0_char_AEGIOCHUSMON","char_AEGIOCHUSMON","Now that I can shoot lightning, you might get shocked 
if you touch me.",""
"aigiou_001_1_replay","char_PLAYER_M","I'm not afraid of a little shock.",""
"aigiou_001_1_reaction_char_AEGIOCHUSMON","char_AEGIOCHUSMON","You really are a brave one, huh? I could learn a few things 
from you.",""
"aigiou_001_2_replay","char_PLAYER_M","I'll wear rubber gloves.",""
"aigiou_001_2_reaction_char_AEGIOCHUSMON","char_AEGIOCHUSMON","And that would protect you from lightning? Huh. You learn 
something new every day.",""
"aigiou_001_3_replay","char_PLAYER_M","You'd never do anything mean like that.",""
"aigiou_001_3_reaction_char_AEGIOCHUSMON","char_AEGIOCHUSMON","Haha. There's no fooling you, huh? Yeah, don't worry. 
I'd never shock you.",""
"aigiou_001_4_replay","char_PLAYER_M","You already electrify me.",""
"aigiou_001_4_reaction_char_AEGIOCHUSMON","char_AEGIOCHUSMON","Wow, listen to you! What a character you are! Hehe!",""
"aigiob_001_0_char_AEGIOCHUSMON_BLUE","char_AEGIOCHUSMON_BLUE","My left hand is so big now... Are you scared of me?",""
"aigiob_001_1_replay","char_PLAYER_M","Not at all.",""
"aigiob_001_1_reaction_char_AEGIOCHUSMON_BLUE","char_AEGIOCHUSMON_BLUE","Aw, I was hoping you'd be at least a little spooked... But thanks. 
I'm glad I asked.",""
"aigiob_001_2_replay","char_PLAYER_M","No, but it is pretty interesting.",""
"aigiob_001_2_reaction_char_AEGIOCHUSMON_BLUE","char_AEGIOCHUSMON_BLUE","Oh... I guess I do have more to learn, too... about myself, 
and how to protect everyone.",""
"aigiob_001_3_replay","char_PLAYER_M","More like reassured that I can count on you.",""
"aigiob_001_3_reaction_char_AEGIOCHUSMON_BLUE","char_AEGIOCHUSMON_BLUE","Really? Hehe. Well, I'm counting on you, too. Let's use this 
hand of mine to save everyone!",""
"aigiob_001_4_replay","char_PLAYER_M","It looks cool.",""
"aigiob_001_4_reaction_char_AEGIOCHUSMON_BLUE","char_AEGIOCHUSMON_BLUE","What?! R-Really? Now I'm feeling kinda self-conscious.
Hehe...",""
"aigiog_001_0_char_AEGIOCHUSMON_GREEN","char_AEGIOCHUSMON_GREEN","The other day, I saw a flower garden full of roses. 
It was really beautiful.",""
"aigiog_001_1_replay","char_PLAYER_M","Let's make weapons out of all the thorns.",""
"aigiog_001_1_reaction_char_AEGIOCHUSMON_GREEN","char_AEGIOCHUSMON_GREEN","Haha. Like the ones I have? True. These thorns do pack a 
prickly sting!",""
"aigiog_001_2_replay","char_PLAYER_M","Let's gather the petals for a bath.",""
"aigiog_001_2_reaction_char_AEGIOCHUSMON_GREEN","char_AEGIOCHUSMON_GREEN","You mean put the petals in the water? Huh. I never thought 
of using them that way.",""
"aigiog_001_3_replay","char_PLAYER_M","Let's go see it together.",""
"aigiog_001_3_reaction_char_AEGIOCHUSMON_GREEN","char_AEGIOCHUSMON_GREEN","Sure, I'd love to! And I'm gonna hold you to that promise!",""
"aigiog_001_4_replay","char_PLAYER_M","I'd like to give all the roses to you.",""
"aigiog_001_4_reaction_char_AEGIOCHUSMON_GREEN","char_AEGIOCHUSMON_GREEN","Um, would that really suit me...? Still, that's very nice 
of you to say. Thanks.",""
"aigiod_001_0_char_AEGIOCHUSMON_DARK","char_AEGIOCHUSMON_DARK","I think I wanna do something mean to you.",""
"aigiod_001_1_replay","char_PLAYER_M","Be mean to me and I'll be mean back.",""
"aigiod_001_1_reaction_char_AEGIOCHUSMON_DARK","char_AEGIOCHUSMON_DARK","Figured you'd say that. You're ready for anything, aren't you?",""
"aigiod_001_2_replay","char_PLAYER_M","What are you gonna do?",""
"aigiod_001_2_reaction_char_AEGIOCHUSMON_DARK","char_AEGIOCHUSMON_DARK","I'm not telling. Besides, I can't just come up with these things 
outta nowhere, you know.",""
"aigiod_001_3_replay","char_PLAYER_M","Please don't.",""
"aigiod_001_3_reaction_char_AEGIOCHUSMON_DARK","char_AEGIOCHUSMON_DARK","Doing it even if you say not to is the whole point. But I guess 
I can skip it for today...",""
"aigiod_001_4_replay","char_PLAYER_M","That isn't like you.",""
"aigiod_001_4_reaction_char_AEGIOCHUSMON_DARK","char_AEGIOCHUSMON_DARK","Trying to talk me out of it? Sorry, but once you catch my eye, 
it's gonna happen.",""
"aigioh_001_0_char_AEGIOCHUSMON_HOLLY","char_AEGIOCHUSMON_HOLLY","Is your heart pure?",""
"aigioh_001_1_replay","char_PLAYER_M","Nope. Sorry.",""
"aigioh_001_1_reaction_char_AEGIOCHUSMON_HOLLY","char_AEGIOCHUSMON_HOLLY","You might be joking, but I suggest you mend your ways. 
I cannot abide an impure heart.",""
"aigioh_001_2_replay","char_PLAYER_M","It might be a little impure.",""
"aigioh_001_2_reaction_char_AEGIOCHUSMON_HOLLY","char_AEGIOCHUSMON_HOLLY","Very honest of you. But think carefully. If you feel that way, 
purity is not far off.",""
"aigioh_001_3_replay","char_PLAYER_M","Probably.",""
"aigioh_001_3_reaction_char_AEGIOCHUSMON_HOLLY","char_AEGIOCHUSMON_HOLLY","So you have some doubt within you? I shall help you rid 
yourself of this uncertainty.",""
"aigioh_001_4_replay","char_PLAYER_M","Of course it is.",""
"aigioh_001_4_reaction_char_AEGIOCHUSMON_HOLLY","char_AEGIOCHUSMON_HOLLY","A bold claim. But do not worry. I believe you.",""
"Seire_001_0_char_SIRENMON","char_SIRENMON","Which do you prefer, birds or fish?",""
"Seire_001_1_replay","char_PLAYER_M","Both are kind of meh...",""
"Seire_001_1_reaction_char_SIRENMON","char_SIRENMON","Are you perhaps not a fan of me? Once you hear my song, 
I bet you'll change your tune.",""
"Seire_001_2_replay","char_PLAYER_M","Fish!",""
"Seire_001_2_reaction_char_SIRENMON","char_SIRENMON","A fan of the sea? You'll be happy to know it feels incredible 
to sing in the ocean depths.",""
"Seire_001_3_replay","char_PLAYER_M","I like both.",""
"Seire_001_3_reaction_char_SIRENMON","char_SIRENMON","Then I imagine you'll like my peculiar look. I feel like singing 
a song, just for you!",""
"Seire_001_4_replay","char_PLAYER_M","Birds!",""
"Seire_001_4_reaction_char_SIRENMON","char_SIRENMON","In that case, allow me to serenade you from the skies with 
my avian trill.",""
"loco_001_0_char_LOCOMON","char_LOCOMON","How about it? Coming aboard?",""
"loco_001_1_replay","char_PLAYER_M","I bet I'd get motion sickness.",""
"loco_001_1_reaction_char_LOCOMON","char_LOCOMON","I'd strive to keep turbulence to a minimum, so please 
overcome your trepidation.",""
"loco_001_2_replay","char_PLAYER_M","I don't do well with smoke.",""
"loco_001_2_reaction_char_LOCOMON","char_LOCOMON","I'm really careful with humans on board. I wouldn't blow 
too much smoke, you know.",""
"loco_001_3_replay","char_PLAYER_M","Can you take me somewhere nearby?",""
"loco_001_3_reaction_char_LOCOMON","char_LOCOMON","Near or far, I promise you a smooth and pleasant journey.",""
"loco_001_4_replay","char_PLAYER_M","Let's travel to the ends of the earth!",""
"loco_001_4_reaction_char_LOCOMON","char_LOCOMON","Very well. It'll be a long journey for sure, so I won't slack off 
on the maintenance.",""
