string2 0,string 1,string 2,string 3
"10","char_PLAYER_M","""Enter Name"" (System Screen)",""
"dummy_locomon_stop","char_PLAYER_M","",""
"dummy_blimp_dapature","char_PLAYER_M","",""
"dummy_blimp_stop","char_PLAYER_M","",""
"dummy_cos_open","char_PLAYER_M","",""
"dummy_comvert_open","char_PLAYER_M","",""
"dummy_evolution_open","char_PLAYER_M","",""
"dummy_m020_0010","char_PLAYER_M","",""
"dummy_m150_0010","char_PLAYER_M","",""
"dummy_m160_0010","char_PLAYER_M","",""
"dummy_m160_0020","char_PLAYER_M","",""
"dummy_m160_0030","char_PLAYER_M","",""
"dummy_m160_0040","char_PLAYER_M","",""
"dummy_m160_0050","char_PLAYER_M","",""
"dummy_m170_0010","char_PLAYER_M","",""
"dummy_m170_0020","char_PLAYER_M","",""
"dummy_m170_0030","char_PLAYER_M","",""
"dummy_m170_0040","char_PLAYER_M","",""
"dummy_m170_0050","char_PLAYER_M","",""
"dummy_m170_0060","char_PLAYER_M","",""
"dummy_m170_0070","char_PLAYER_M","",""
"dummy_m170_0080","char_PLAYER_M","",""
"dummy_m170_0090","char_PLAYER_M","",""
"dummy_m170_0100","char_PLAYER_M","",""
"dummy_m170_0110","char_PLAYER_M","",""
"dummy_m170_0130","char_PLAYER_M","",""
"dummy_m170_0150","char_PLAYER_M","",""
"dummy_m170_0160","char_PLAYER_M","",""
"dummy_m170_0170","char_PLAYER_M","",""
"dummy_m170_0180","char_PLAYER_M","",""
"dummy_m170_0190","char_PLAYER_M","",""
"dummy_m170_0200","char_PLAYER_M","",""
"dummy_m170_0210","char_PLAYER_M","",""
"dummy_m180_0010","char_PLAYER_M","",""
"dummy_m180_0020","char_PLAYER_M","",""
"dummy_m180_0023","char_PLAYER_M","",""
"dummy_m180_0030","char_PLAYER_M","",""
"dummy_m180_0040","char_PLAYER_M","",""
"dummy_m180_0041","char_PLAYER_M","",""
"dummy_m180_0042","char_PLAYER_M","",""
"dummy_m180_0043","char_PLAYER_M","",""
"dummy_m180_0044","char_PLAYER_M","",""
"dummy_m180_0050","char_PLAYER_M","",""
"dummy_m180_0060","char_PLAYER_M","",""
"dummy_m180_0063","char_PLAYER_M","",""
"dummy_m180_0065","char_PLAYER_M","",""
"dummy_m180_0067","char_PLAYER_M","",""
"dummy_m180_0068","char_PLAYER_M","",""
"dummy_m180_0069","char_PLAYER_M","",""
"dummy_m180_0070","char_PLAYER_M","",""
"dummy_m180_0080","char_PLAYER_M","",""
"dummy_m180_0090","char_PLAYER_M","",""
"dummy_m180_0100","char_PLAYER_M","",""
"dummy_m180_0110","char_PLAYER_M","",""
"dummy_m190_0010","char_PLAYER_M","",""
"dummy_m190_0020","char_PLAYER_M","",""
"dummy_m190_0025","char_PLAYER_M","",""
"dummy_m190_0030","char_PLAYER_M","",""
"dummy_m190_0035","char_PLAYER_M","",""
"dummy_m190_0040","char_PLAYER_M","",""
"dummy_m190_0050","char_PLAYER_M","",""
"dummy_m190_0060","char_PLAYER_M","",""
"dummy_m190_0070","char_PLAYER_M","",""
"dummy_m190_9000","char_PLAYER_M","",""
"dummy_m200_0010","char_PLAYER_M","",""
"dummy_m200_0020","char_PLAYER_M","",""
"dummy_m200_0030","char_PLAYER_M","",""
"dummy_m200_0040","char_PLAYER_M","",""
"dummy_m210_0010","char_PLAYER_M","",""
"dummy_m210_0020","char_PLAYER_M","",""
"dummy_m210_0023","char_PLAYER_M","",""
"dummy_m210_0030","char_PLAYER_M","",""
"dummy_m210_0040","char_PLAYER_M","",""
"dummy_m210_0050","char_PLAYER_M","",""
"dummy_m210_0060","char_PLAYER_M","",""
"dummy_m210_0070","char_PLAYER_M","",""
"dummy_m210_0080","char_PLAYER_M","",""
"dummy_m210_0090","char_PLAYER_M","",""
"dummy_m210_0100","char_PLAYER_M","",""
"dummy_m210_0110","char_PLAYER_M","",""
"dummy_m220_0010","char_PLAYER_M","",""
"dummy_m220_0020","char_PLAYER_M","",""
"dummy_m230_0010","char_PLAYER_M","",""
"dummy_m230_0020","char_PLAYER_M","",""
"dummy_m230_0030","char_PLAYER_M","",""
"dummy_m230_0040","char_PLAYER_M","",""
"dummy_m230_0050","char_PLAYER_M","",""
