string2 0,string 1,string 2,string 3
"f_h0210_0010_0010","char_PLAYER_M","",""
"f_h0211_0010_0010","char_PLAYER_M","",""
"f_h0212_0010_0010","char_PLAYER_M","",""
"f_h0213_0010_0010","char_PLAYER_M","",""
"f_h0214_0010_0010","char_PLAYER_M","",""
"f_h0215_0010_0010","char_PLAYER_M","",""
"f_h0216_0010_0010","char_PLAYER_M","",""
"f_h0217_0010_0010","char_PLAYER_M","",""
"f_h0218_0010_0010","char_PLAYER_M","",""
"f_h0219_0010_0010","char_PLAYER_M","",""
"f_h0220_0010_0010","char_VADEMON","Wanna recover before headin' to the trainin' area? 
It's free of charge.",""
"f_h0220_0010_0020","","Yes, please.",""
"f_h0220_0010_0021","","{end}Maybe not right now.",""
"f_h0220_0010_0030","char_VADEMON","Treatment complete! Feel free to come back anytime.",""
