string2 0,string 1,string 2,string 3
"m130_010_010","char_LUNAMON","The sewers are up ahead. They're usually blocked off because
they're dangerous.",""
"m130_010_020","char_LUNAMON","The Digimon here are different from the city's residents.
Many of them are violent and tend to attack strangers.",""
"m130_010_030","char_LUNAMON","I'd only hold you back if I came along. Can I trust you to
take care of this?",""
"m130_010_040","char_PLAYER_M","You can trust us.{next}",""
"m130_010_041","char_PLAYER_M","There's nothing ADAMAS can't do.{next}",""
"m130_010_042","char_PLAYER_M","...I'd be lying if I said I wasn't nervous.{next}",""
"m130_010_050","char_LUNAMON","Great! I'm counting on you, then.",""
"m130_010_060","char_LUNAMON","Oh, I'm sure you'll be fine!",""
"m130_010_070","char_LUNAMON","...Probably.",""
"m130_010_080","char_LUNAMON","But be careful! I'll look for Minerva in the meantime.",""
"m130_010_090","char_LUNAMON","If I have any luck in my search, I'll bring Minnie to you guys right away!",""
"m130_010_100","char_OPERATOR_M","What a strange quest you've taken on... But if you get to
reunite with Minervamon, it isn't such a bad trade.",""
"m130_010_110","char_OPERATOR_M","Asking Minervamon how to get back is likely the most
efficient option. I have plenty of other questions, too.",""
"m130_010_120","char_OPERATOR_M","If it leads to getting more information, it will hardly be 
a waste of time. Still, be careful, Agent {player}.",""
"m130_020_010","char_AEGIOMON","So these are the sewers of a Digimon town, huh?","m130_020_010"
"m130_020_020","char_INORI","Coronamon and the others should be up ahead somewhere. I'm
worried we'll get caught trespassing, but... should we go?","m130_020_020"
"m130_030_010","char_MIREI","Oh, my. Look who we have here. We do seem to meet at some 
strange places, don't we?","m130_030_010"
"m130_030_020","char_MIREI","This is the In-Between, a dimension that exists between 
worlds.","m130_030_020"
"m130_030_030","char_MIREI","You must've gotten lost while coming and going between the
two worlds as well.","m130_030_030"
"m130_030_040","char_MIREI","But the only way out is the way you came in. You can't get to
the other world from here, I'm afraid.","m130_030_040"
"m130_030_050","char_MIREI","You could at least prepare for the destiny you're about to
face, though, while you're here.","m130_030_050"
"m130_040_010","char_BEARMON_YB","Uhhh... ugh-uhhh...","m130_040_010"
"m130_040_020","char_PLAYER_M","What happened here?{next}",""
"m130_040_021","char_PLAYER_M","With this agent on the scene, don't you worry about a thing.{next}",""
"m130_040_022","char_PLAYER_M","Uh-oh...{next}",""
"m130_040_030","char_BEARMON_YB","Wh-Wh-Who're you?! N-No, never mind that now!","m130_040_030"
"m130_040_040","char_BEARMON_YB","T-T-T... T-T-T-Titans!","m130_040_040"
"m130_040_050","char_BEARMON_YB","There are Titans here!","m130_040_050"
"m130_040_060","char_BEARMON_YB","Big Bro protected me from 'em, and then...","m130_040_060"
"m130_040_070","char_BEARMON_YB","...the two of them ran up ahead chasing after the Titans!","m130_040_070"
"m130_040_080","char_AEGIOMON","Titans?","m130_040_080"
"m130_040_090","char_INORI","If I remember correctly... Minervamon called that big Digimon in
Shinjuku a ""Titan,"" too...","m130_040_090"
"m130_040_100","char_BEARMON_YB","Big Bro told me to run on home, but I'm goin', too! I'll
show ya the way!","m130_040_100"
"m130_040_110","char_BEARMON_YB","Please! Help my Big Bro!","m130_040_110"
"m130_050_010","char_BEARMON_OB","Damn you, Titans!","m130_050_010"
"m130_050_020","char_INORI","Y-You leave those kids alone!","m130_050_020"
"m130_050_030","char_AEGIOMON","I-Inori! No! What are you doing?!","m130_050_030"
"m130_050_040","char_INORI","But look at them... They're obviously bullying kids weaker 
than them!","m130_050_040"
"m130_050_050","char_ORGEMON","More prey for us, eh? Thanks for showin' up to be hunted!","m130_050_050"
"m130_050_060","char_AEGIOMON","...I won't let you lay a finger on Inori!","m130_050_060"
"m130_050_070","char_ORGEMON","Huh? Who do ya think you are, runt?!","m130_050_070"
"m130_050_080","char_PLAYER_M","This is ADAMAS. Identify yourselves.{next}",""
"m130_050_081","char_PLAYER_M","You'll need to identify yourselves first. Are you Titans?{next}",""
"m130_050_082","char_PLAYER_M","Don't pick on the weak.{next}",""
"m130_050_090","char_ORGEMON","That's not somethin' you need to know...","m130_050_090"
"m130_050_100","char_ORGEMON","...because you'll all soon be dead!","m130_050_100"
"m130_050_110","char_CORONAMON","Eek!","m130_050_110"
"m130_050_120","char_AEGIOMON","You heard Inori! We won't let you run wild here!","m130_050_120"
"m130_050_130","char_CORONAMON","Th-That goes for me, too! I'll finish you all without
breaking a sweat!","m130_050_130"
"m130_050_140","char_CORONAMON","And I-I'm not scared at all, okay?! Let's gooooo!","m130_050_140"
"m130_050_150","char_ORGEMON","So ya know who we are, eh? All the more reason we ain't 
lettin' ya leave here alive!","m130_050_150"
"m130_050_160","char_ORGEMON","I got no time to be listenin' to any lectures outta you!","m130_050_160"
"m130_060_010","char_MINERVAMON","Hold it right there!","m130_060_010"
"m130_060_013","char_MINERVAMON","Looks like you thugs have done a number on that little brother
of mine right there.","m130_060_013"
"m130_060_014","char_MINERVAMON","He may be a little bratty so-and-so... But he's MY little bratty so-and-so.
And I wouldn't trade him for anything.","m130_060_014"
"m130_060_015","char_MINERVAMON","So, sorry in advance, but I don't see myself holding back here.","m130_060_015"
"m130_060_016","char_MINERVAMON","...Prepare yourselves!","m130_060_016"
"m130_060_020","char_ORGEMON","Guaaagh!","m130_060_020"
"m130_060_030","char_MINERVAMON","Now, let's clean up this mess!","m130_060_030"
"m130_060_040","char_FUGAMON","You! It's Minervamon!","m130_060_040"
"m130_060_050","char_HYOUGAMON","Perfect. Now we can take out the lot of ya at once!","m130_060_050"
"m130_070_010","char_AEGIOMON","I'll never be able to protect Inori if I let something like
this beat me!","m130_070_010"
"m130_070_012","char_INORI","Aegiomon...!","m130_070_012"
"m130_070_014","char_AEGIOMON","That night, under that starry sky... you said ""always,""
right? That you'd always be by my side...?","m130_070_014"
"m130_070_016","char_AEGIOMON","That's why... I swore in my heart then that I wouldn't let
myself get down in the dumps again!","m130_070_016"
"m130_070_018","char_AEGIOMON","I'll get stronger! So I can protect you, Inori—right here,
by your side!","m130_070_018"
"m130_070_020","char_MINERVAMON","Such power! Could he really be from that egg after all...?!","m130_070_020"
"m130_080_010","char_CORONAMON","Man, look at him go...! Well, I-I can fight too, you know!","m130_080_010"
"m130_080_020","char_CORONAMON","What good am I if I can't even take on these goons!","m130_080_020"
"m130_090_010","char_MINERVAMON","There!","m130_090_010"
"m130_090_020","char_CORONAMON","Did you see me? Did you see what I can do? Hahaha!　","m130_090_020"
"m130_090_030","char_MINERVAMON","Unbelievable...","m130_090_030"
"m130_100_010","char_MINERVAMON","How many times have I told you NOT to go down into the
underground?!","m130_100_010"
"m130_100_020","char_CORONAMON","I'm sorry...","m130_100_020"
"m130_100_030","char_MINERVAMON","And that goes for you two, as well!","m130_100_030"
"m130_100_040","char_BEARMON_BRO","You shut up! You can't tell us what to do!","m130_100_040"
"m130_100_050","char_MINERVAMON","Absolutely hopeless...","m130_100_050"
"m130_100_060","char_MINERVAMON","I'm just glad you're safe. All of you.","m130_100_060"
"m130_100_070","char_MINERVAMON","I haven't exactly processed everything yet...","m130_100_070"
"m130_100_080","char_MINERVAMON","But we've got a serious problem if the Titans have
infiltrated Central Town.","m130_100_080"
"m130_100_090","char_MINERVAMON","We've got to report this to Merukimon. You coming, egg thief?","m130_100_090"
"m130_100_100","char_PLAYER_M","Who's Merukimon?{next}",""
"m130_100_101","char_PLAYER_M","Tell us more about the Titans.",""
"m130_100_102","char_PLAYER_M","I assure you that I'm not an egg thief.",""
"m130_100_110","char_MINERVAMON","This town's leader, and a dependable one at that. We should
go report in to him.","m130_100_110"
"m130_100_120","char_MINERVAMON","They're our enemies. A real pain in the behind, I gotta say.
I'll tell you more when I've got the time.","m130_100_120"
"m130_100_130","char_MINERVAMON","What can I say? It just rolls off the tongue so easily.","m130_100_130"
"m130_100_140","char_MINERVAMON","Merukimon's base is near the square. Let's go!","m130_100_140"
"m130_100_150","char_OPERATOR_M","Titans, huh...? It seems Digimon are infighting among their
own kind.","m130_100_150_M m130_100_150_F"
