string2 0,string 1,string 2,string 3
"r_t0101_0010_0010","char_PASSERBY_MAN","Just a little longer until
the meeting...",""
"r_t0101_0010_0020","char_PASSERBY_WOMAN","Hmm... Which one should I get?♪",""
"r_t0101_0010_0030","char_PASSERBY_MAN","Maybe I'll buy some new
clothes.",""
"r_t0101_0010_0040","char_PASSERBY_MAN","Still have plenty of time...",""
"r_t0101_0010_0050","char_PASSERBY_MAN","Maybe I'll catch a cab home.",""
"r_t0101_0010_0060","char_PASSERBY_MAN","Ugh, it's so hot...",""
"r_t0101_0010_0070","char_PASSERBY_MAN","Off-limits? Seriously...?",""
"r_t0101_0010_0080","char_PASSERBY_MAN","What, we can't go through...?",""
"r_t0101_0010_0090","char_PASSERBY_MAN","This way's blocked off, too...",""
"r_t0101_0010_0100","char_PASSERBY_MAN","I'm starting to get really
worried...",""
"r_t0101_0010_0110","char_PASSERBY_MAN","What in the world is
happening?",""
"r_t0101_0010_0120","char_PASSERBY_MAN","I just wanna go home...",""
"r_t0101_0010_0130","char_PASSERBY_MAN","Is that a Digimon?!",""
"r_t0101_0010_0140","char_PASSERBY_MAN","No way, a Digimon?!",""
"r_t0101_0010_0150","char_PASSERBY_WOMAN","Isn't it dangerous...?",""
"r_t0101_0010_0160","char_PASSERBY_MAN","What the hell is that thing?!",""
"r_t0101_0010_0170","char_PASSERBY_MAN","Cosplaying in Shinjuku?
Really?",""
"r_t0101_0010_0180","char_PASSERBY_MAN","Don't they look kinda alike?",""
"r_t0101_0010_0190","char_PASSERBY_MAN","Hi there, gorgeous. Wanna go
hang out somewhere?",""
"r_t0102_0010_0010","char_OPERATOR_M","Still got time before work,
so I might as well have some fun!",""
"r_t0102_0010_0020","char_OPERATOR_M","Where was the station again?",""
"r_t0102_0010_0030","char_OPERATOR_M","I think I'll pop in for a
break at a cafe! ♪",""
"r_t0102_0010_0040","char_OPERATOR_M","Getting all this stuff
stocked is a real pain...",""
"r_t0102_0010_0050","char_OPERATOR_M","What should I do today...",""
"r_t0102_0010_0060","char_OPERATOR_M","Hey, they've got that new
dessert! Think I'll try it!",""
"r_t0102_0010_0070","char_OPERATOR_M","Hey there, pretty lady...
You free tonight?",""
"r_t0102_0010_0080","char_OPERATOR_M","What? Oh, I don't know...",""
"r_t0102_0010_0090","char_OPERATOR_M","Now, where did he wander off
to...?",""
"r_t0102_0010_0100","char_OPERATOR_M","I-I just wanna go home...",""
"r_t0102_0010_0110","char_OPERATOR_M","I gotta catch up with the
rest of the gang...",""
"r_t0102_0010_0120","char_OPERATOR_M","This ramen place is always
packed.",""
"r_t0102_0010_0130","char_OPERATOR_M","What's taking him so long...?",""
"r_t0102_0010_0140","char_OPERATOR_M","Which one should I play
today...?",""
"r_t0102_0010_0150","char_OPERATOR_M","What a crazy protest...",""
"r_t0102_0010_0160","char_OPERATOR_M","Here too?",""
"r_t0102_0010_0170","char_OPERATOR_M","Did something happen over
there?",""
"r_t0102_0010_0180","char_OPERATOR_M","This is sketching me out.
Maybe it's time to go...",""
"r_t0102_0010_0190","char_OPERATOR_M","People seem crazier than
usual around the theater today...",""
"r_t0102_0010_0200","char_OPERATOR_M","Gimme a break...",""
"r_t0102_0010_0210","char_OPERATOR_M","Guess I'd better find
somewhere to kill time...",""
"r_t0102_0010_0220","char_OPERATOR_M","Is the way still closed?",""
"r_t0102_0010_0230","char_OPERATOR_M","What should I do...",""
"r_t0102_0010_0240","char_OPERATOR_M","What the hell is going on?",""
"r_t0102_0010_0250","char_OPERATOR_M","I just wanna go home...",""
"r_t0102_0010_0260","char_OPERATOR_M","What's going on?",""
"r_t0102_0010_0270","char_PASSERBY_WOMAN","What's with that kid?",""
"r_t0102_0010_0280","char_PASSERBY_WOMAN","He's so fluffy!",""
"r_t0102_0010_0290","char_PASSERBY_MAN","Look at those horns...",""
"r_t0102_0010_0300","char_PASSERBY_MAN","Wait, is it Halloween already?",""
"r_t0102_0010_0310","char_PASSERBY_MAN","What's with the cosplay?",""
"r_t0102_0010_0320","char_CHILD","Mom, what's that?",""
"r_t0102_0010_0330","char_PASSERBY_WOMAN","Don't stare...!",""
"r_t0102_0010_0340","char_PASSERBY_MAN","Is that... a Digimon?",""
"r_t0102_0010_0350","char_PASSERBY_MAN","Get a photo! Get a photo!",""
"r_t0102_0010_0360","char_PASSERBY_WOMAN","Hey, isn't that the one from
the internet?",""
"r_t0103_0010_0010","char_PASSERBY_MAN","Where should I go...?",""
"r_t0103_0010_0020","char_PASSERBY_MAN","What's keeping her...",""
"r_t0103_0010_0030","char_PASSERBY_MAN","Time to grab a bite.",""
"r_t0103_0010_0040","char_PASSERBY_MAN","Shinjuku is way too big...",""
"r_t0103_0010_0050","char_PASSERBY_MAN","Aw, man! I can't see anything
from here...",""
"r_t0103_0010_0051","char_PASSERBY_MAN","What's with the line?",""
"r_t0103_0010_0052","char_PASSERBY_MAN","There's too many people!",""
"r_t0103_0010_0053","char_PASSERBY_MAN","I've got a bad feeling about
this...",""
"r_t0103_0010_0054","char_PASSERBY_MAN","Might be best to steer clear
of all this...",""
"r_t0103_0010_0055","char_PASSERBY_MAN","Is something starting?",""
"r_t0103_0010_0056","char_PASSERBY_MAN","Maybe I'll snap a pic, just
'cuz.",""
"r_t0103_0010_0057","char_PASSERBY_MAN","What's going on?",""
"r_t0103_0010_0058","char_PASSERBY_MAN","This is kinda creepy...",""
"r_t0103_0010_0059","char_PASSERBY_MAN","I can't see anything!",""
"r_t0103_0010_0060","char_PASSERBY_WOMAN","Did something happen?",""
"r_t0103_0010_0061","char_PASSERBY_MAN","Are they filming a movie?",""
"r_t0103_0010_0062","char_PASSERBY_MAN","I'm posting this online!",""
"r_t0103_0010_0063","char_PASSERBY_MAN","How does it work?",""
"r_t0103_0010_0064","char_PASSERBY_MAN","What's that?! What's that?!",""
"r_t0103_0010_0065","char_PASSERBY_MAN","It just moved a little!",""
"r_t0103_0010_0066","char_PASSERBY_WOMAN","Shouldn't we be keeping our
distance?",""
"r_t0103_0010_0067","char_PASSERBY_MAN","This thing's huge!",""
"r_t0103_0010_0068","char_PASSERBY_MAN","This is crazy!",""
"r_t0103_0010_0069","char_PASSERBY_WOMAN","Awesome!",""
"r_t0103_0010_0070","char_PASSERBY_MAN","Stop shoving!",""
"r_t0103_0010_0080","char_PASSERBY_WOMAN","I wanna get closer!",""
"r_t0103_0010_0090","char_PASSERBY_MAN","I think I caught a peek...",""
"r_t0103_0010_0100","char_PASSERBY_WOMAN","Is something floating
there...?",""
"r_t0103_0010_0110","char_PASSERBY_WOMAN","There's something weird over
there...",""
"r_t0103_0010_0120","char_PASSERBY_MAN","Digi... mon?",""
"r_t0103_0010_0130","char_PASSERBY_MAN","Surprised it can walk around
like that...",""
"r_t0103_0010_0140","char_PASSERBY_MAN","Is that a Digimon...?",""
"r_t0103_0010_0150","char_PASSERBY_MAN","Hey! It's a Digimon!",""
"r_t0103_0010_0160","char_PASSERBY_MAN","Hmm? Is that what I think it
is...?",""
"r_t0103_0010_0170","char_PASSERBY_MAN","Hey, you over there! Got a
moment?",""
"r_t0103_0010_0175","char_PASSERBY_MAN","You ignoring me?",""
"r_t0103_0010_0180","char_PASSERBY_MAN","I want to ask you about
Digimon!",""
"r_t0103_0010_0185","char_PASSERBY_MAN","Hey, come on! It'll just take
a second!",""
"r_t0103_0010_0190","char_PASSERBY_MAN","Just hear me out!",""
"r_t0103_0010_0195","char_PASSERBY_MAN","Hey, don't ignore me! That
hurts!",""
"r_t0103_0010_0200","char_PASSERBY_MAN","It's only a quick interview!
Come on!",""
"r_t0103_0010_0210","char_PASSERBY_MAN","Did you just say ""Digimon""?",""
"r_t0103_0010_0220","char_PASSERBY_MAN","What's going on here?",""
"r_t0103_0010_0230","char_PASSERBY_MAN","Digimon...?",""
"r_t0103_0010_0240","char_PASSERBY_MAN","Is this some kind of event?",""
"r_t0103_0010_0250","char_PASSERBY_MAN","I've seen that person before!",""
"r_t0104_0010_0010","char_PASSERBY_MAN","The ticket gates are down
these stairs, right?",""
"r_t0104_0010_0020","char_PASSERBY_WOMAN","Welcome!",""
"r_t0104_0010_0030","char_PASSERBY_MAN","Wonder if I got paid yet...",""
"r_t0104_0010_0040","char_PASSERBY_WOMAN","Is it my turn yet? I'm
starving...",""
"r_t0104_0010_0050","char_PASSERBY_MAN","Hey, they've got that new
book in stock!",""
"r_t0104_0010_0060","char_PASSERBY_WOMAN","What should I get today? ♪",""
"r_t0104_0010_0070","char_PASSERBY_MAN","Now, where did I leave my
stuff...?",""
"r_t0104_0010_0080","char_PASSERBY_MAN","This station is way too
complicated...!",""
"r_t0104_0010_0090","char_PASSERBY_MAN","There's videos of some
strange phenomena...",""
"r_t0104_0010_0095","char_PASSERBY_MAN","Not this again...",""
"r_t0104_0010_0100","char_PASSERBY_WOMAN","Oh, come on...",""
"r_t0104_0010_0110","char_SPECIAL_FORCES","Evacuate this way!",""
"r_t0104_0010_0120","char_PASSERBY_WOMAN","What the heck is going on?",""
"r_t0104_0010_0130","char_PASSERBY_MAN","What's that machine?!",""
"r_t0104_0010_0140","char_PASSERBY_MAN","I want to know exactly what's
going on!",""
"r_t0104_0010_0150","char_PASSERBY_WOMAN","What do they mean,
""evacuate""...?",""
"r_t0104_0010_0160","char_PASSERBY_MAN","Huh? What's this about bugs?",""
"r_t0105_0010_0010","char_SPECIAL_FORCES","This way!",""
"r_t0105_0010_0020","char_PASSERBY_MAN","Wh-What is this?!",""
"r_t0105_0010_0030","char_PASSERBY_MAN","Where are we going?",""
"r_t0105_0010_0040","char_PASSERBY_MAN","What is that?",""
"r_t0107_0010_0010","char_PASSERBY_MAN","Tell us the truth!",""
"r_t0107_0010_0020","char_PASSERBY_MAN","What's behind the Wall?!",""
"r_t0107_0010_0030","char_PASSERBY_MAN","What's the government trying
to pull?!",""
"r_t0107_0010_0040","char_PASSERBY_MAN","Is there... an entrance over
that way?",""
"r_t0107_0010_0050","char_PASSERBY_MAN","Wh-What was that?!",""
"r_t0107_0010_0060","char_PASSERBY_MAN","A rumble! What happened?!",""
"r_t0107_0010_0070","char_PASSERBY_MAN","What?! An earthquake?!",""
"r_t0107_0010_0080","char_PASSERBY_MAN","You can't fool us!",""
"r_t0107_0010_0090","char_PASSERBY_MAN","Give us some answers!",""
"r_t0107_0010_0100","char_PASSERBY_MAN","We know you're hiding
something!",""
"r_t0107_0010_0110","char_PASSERBY_MAN","The truth has to come out!",""
"r_t0107_0010_0120","char_PASSERBY_MAN","If nothing's wrong, then why
hide it?!",""
"r_t0107_0010_0130","char_PASSERBY_MAN","Listen to the people!",""
"r_t0107_0010_0140","char_PASSERBY_MAN","This is what caused the
recession!",""
"r_t0107_0010_0150","char_PASSERBY_MAN","Just come clean, already!",""
"r_t0107_0010_0160","char_PASSERBY_MAN","You can't hide the truth
forever!",""
"r_t0107_0010_0170","char_PASSERBY_MAN","The government can't get away
with this!",""
"r_t0107_0010_0180","char_PASSERBY_MAN","Explain yourselves!",""
"r_t0107_0010_0190","char_PASSERBY_MAN","We aren't gonna take this
lying down!",""
"r_t0107_0020_0010","char_PASSERBY_WOMAN","Why aren't you saying
anything?!",""
"r_t0107_0020_0020","char_PASSERBY_MAN","I've had just about enough of
this!",""
"r_t0107_0020_0030","char_PASSERBY_MAN","End the blockade now!",""
"r_t0107_0020_0040","char_PASSERBY_MAN","Respect our rights as
citizens!",""
"r_t0107_0020_0050","char_PASSERBY_MAN","Don't ignore us!",""
"r_t0107_0020_0060","char_PASSERBY_MAN","Don't ignore the will of the
people!",""
"r_t0107_0020_0070","char_PASSERBY_MAN","What happened to democracy?!",""
"r_t0107_0020_0080","char_PASSERBY_MAN","Liars!",""
"r_t0107_0020_0090","char_PASSERBY_WOMAN","Give us back our city!",""
"r_t0107_0020_0100","char_PASSERBY_MAN","Politics and the city belong
to the people!",""
"r_t0107_0020_0110","char_PASSERBY_MAN","We'll force the government to
act!",""
"r_t0107_0020_0120","char_PASSERBY_MAN","Make yourselves heard,
everyone!",""
"r_t0107_0020_0130","char_PASSERBY_MAN","We'll fight as long as it
takes!",""
"r_t0107_0020_0140","char_PASSERBY_WOMAN","For our future!",""
"r_t0107_0020_0150","char_PASSERBY_MAN","We can bring about change!",""
"r_t0107_0020_0160","char_PASSERBY_MAN","Don't think we'll take it
quietly!",""
"r_t0107_0020_0170","char_PASSERBY_MAN","We want the truth!",""
"r_t0107_0020_0180","char_PASSERBY_MAN","How long are you gonna lie to
the people?!",""
