string2 0,string 1,string 2,string 3
"s110_106_010","char_DYNASMON","Taking an army with you is proof that you have no confidence
in your own swordsmanship!",""
"s110_106_020","char_LOADKNIGHTMON","How many times must I tell you?! The Knight Corps help
enhance my beauty.",""
"s110_106_030","char_DYNASMON","Another excuse. While we were waiting at the rendezvous
point, your corps was glitching!",""
"s110_106_040","char_DYNASMON","How could you fall behind in swordsmanship to the knights of
your own corps?! Pathetic.",""
"s110_106_050","char_LOADKNIGHTMON","That is not true! I simply accepted their offer! I did not
ask for their help!",""
"s110_106_060","char_LOADKNIGHTMON","I could've handled it on my own without a problem! Do not
underestimate me!",""
"s110_106_070","char_DYNASMON","You are all talk. I bet you would have lost if it were not
for everyone's help.",""
"s110_106_080","char_LOADKNIGHTMON","H-How dare you?!",""
"s110_106_090","char_PLAYER_M","{next}Calm down, already...",""
"s110_106_091","char_PLAYER_M","{next}Why are you fighting?",""
"s110_106_092","char_PLAYER_M","{end}[I should leave them alone.]",""
"s110_106_100","char_LOADKNIGHTMON","How can I calm down?! I haven't felt so insulted in a very
long time.",""
"s110_106_110","char_LOADKNIGHTMON","It's Dynasmon's fault for saying my swordsmanship is
lacking!",""
"s110_106_120","char_LOADKNIGHTMON","How unbearable. This conversation is not over yet!",""
"s110_106_130","char_LOADKNIGHTMON","...Hm? Oh, it's you again.",""
"s110_106_140","char_LOADKNIGHTMON","You've witnessed my beautiful exploits, haven't you?",""
"s110_106_150","char_DYNASMON","Perhaps you mean ""witnessed your disgrace.""",""
"s110_106_160","char_LOADKNIGHTMON","I've had it with you! ...Very well. I'll prove to you what I
am capable of.",""
"s110_106_170","char_DYNASMON","Is that so? And how are you going to do that?",""
"s110_106_180","char_LOADKNIGHTMON","There is an opponent who will more than prove my strength.
Grademon, a renowned knight.",""
"s110_106_190","char_LOADKNIGHTMON","Could you bring Grademon to me? I am not sure of its
location, however...",""
"s110_106_200","char_LOADKNIGHTMON","Since you have been all over the world, I am sure you will
be able to find Grademon!",""
"s110_106_210","char_LOADKNIGHTMON","Grademon would be the perfect opponent! Oh, where can I go
to cross swords with it?",""
"s110_106_220","char_PLAYER_M","{next}I know Grademon's location.",""
"s110_106_221","char_PLAYER_M","{next}Are you sure you can win?",""
"s110_106_222","char_PLAYER_M","{next}Maybe I should help out again...",""
"s110_106_230","char_LOADKNIGHTMON","Wonderful! So you know where Grademon is! Now I can prove my
strength and beauty!",""
"s110_106_240","char_LOADKNIGHTMON","I am not going there to fight. I am going to win. Do you
understand?",""
"s110_106_250","char_LOADKNIGHTMON","I've decided to fight on my own. I no longer need a corps.
I'll win on my own strength!",""
"s110_106_260","char_LOADKNIGHTMON","...I see. So Grademon is at the Paradise Colosseum? Thank
you for telling me!",""
"s110_106_270","char_LOADKNIGHTMON","All right, then. I'll go right away and challenge Grademon
to a duel.",""
"s110_106_280","char_DYNASMON","Are you sure about going alone? What can you possibly do
with your waning swordsmanship?",""
"s110_106_290","char_DYNASMON","Why not simply admit your weakness and get help before you
get seriously injured?",""
"s110_106_300","char_LOADKNIGHTMON","Dynasmon, you can stay here and wait for the results... The
news of my victory, that is!",""
"s110_106_310","char_DYNASMON","Hey, wait...",""
"s110_106_320","char_LOADKNIGHTMON","I must go now! Farewell!",""
"s110_106_330","char_DYNASMON","...Too late. LordKnightmon is gone.",""
"s110_106_340","char_DYNASMON","You have been witnessing all of this. I would like to hear
your honest opinion...",""
"s110_106_350","char_DYNASMON","Was I too hard on LordKnightmon?",""
"s110_106_360","char_PLAYER_M","{next}Yeah, maybe.",""
"s110_106_361","char_PLAYER_M","{next}Do you regret it?",""
"s110_106_362","char_PLAYER_M","{next}If you're worried, you should go after it.",""
"s110_106_370","char_DYNASMON","I see... I knew I had gone a little overboard...",""
"s110_106_380","char_DYNASMON","Well, a little... Very slightly.",""
"s110_106_390","char_DYNASMON","No... I cannot do that. It would make things even more
complicated.",""
