string2 0,string 1,string 2,string 3
"f_t0101_0010_0010","char_YOUNG_MAN","""I saw a weird dinosaur in Shinjuku,"" huh? Sounds a bit
outlandish...",""
"f_t0101_0010_0020","char_YOUNG_WOMAN","That outfit... Are you coming from some kind of event?",""
"f_t0101_0010_0030","char_YOUNG_WOMAN","What a hassle. For some reason, the trains are all stopped
and there are no taxis.",""
"f_t0101_0010_0040","char_YOUNG_WOMAN","We're trying to find another way to get home, but...",""
"f_t0101_0010_0050","char_YOUNG_WOMAN","What does that matter? Just hurry up and find us
a way home already!",""
"f_t0101_0020_0010","char_YOUNG_WOMAN","What's going on? These clouds came out of nowhere, and my
cell reception is awful.",""
"f_t0101_0020_0020","char_YOUNG_WOMAN","All the cars have disappeared, too. Did something serious
happen?",""
"f_t0101_0030_0010","char_MAN","Guess there's a protest going on at the Wall of Hope. And
the transit systems are all down, too... What's going on?",""
"f_t0101_0040_0010","char_YOUNG_MAN","You gotta be kiddin' me! The trains aren't runnin'? And,
seriously, what's with all these blockades?",""
"f_t0101_0080_0010","char_POLICEMAN","No one's allowed through right now! We're inquiring about
the reason, ourselves...",""
"f_t0101_0090_0010","char_POLICEMAN","I'm sorry, but you can't go this way right now... because...
Well, we're getting a mixed bag of information...",""
"f_t0101_0100_0010","char_POLICEMAN","Sorry, but the station's currently off-limits. We've been
told that public safety is in the middle of an operation.",""
"f_t0101_0110_0010","char_POLICEMAN","The station is closed right now. All subway lines in Tokyo
have been stopped due to an expected large tremor.",""
"f_t0101_0120_0010","char_POLICEMAN","You can't go past this point... Ugh! Why do we have to do
this for a so-called ""operation"" of another organization?",""
"f_t0101_0130_0010","char_POLICEMAN","This street is closed, so please go some other way. We don't
know the details, either. It's a request from public safety.",""
"f_t0101_0140_0010","","Going after that light that fell on the government building
takes priority right now.",""
"f_t0101_0150_0010","","Let's avoid drawing attention and hurry to the Misono household.",""
"f_t0101_0160_0010","char_MAN","Dang it! I've got something important to take care of!
They're still not moving yet?!",""
"f_t0101_0170_0010","char_YOUNG_MAN","That anime reminds me of one I used to love back in the
day. What was it called again...?",""
"f_t0101_0180_0010","char_HIROKO","That's why I need you to see what I've done. I've worked
really hard these past eight years.",""
"f_t0101_0180_0020","char_HIROKO","It's supposed to air tomorrow. So... I don't want you
disappearing again until it does.",""
"f_t0101_0180_0030","char_HIROKO","No matter what happens or where you go... just make sure
you come back here tomorrow. Okay?",""
"f_t0101_9000_0010","char_YOUNG_WOMAN","Oh, you play cards, too? How about a match?",""
"f_t0101_9000_0020","","[Challenge to a card battle.]",""
"f_t0101_9000_0021","","{end}Now is not the time.",""
"f_t0101_9000_0030","char_YOUNG_WOMAN","Care for a card game? I'm pretty good, you know. You think
you can handle me?",""
"f_t0101_9000_0040","","[Challenge to a card battle.]",""
"f_t0101_9000_0041","","{end}Now is not the time.",""
"f_t0101_9000_0050","char_YOUNG_WOMAN","I see. Maybe another time, then.",""
"f_t0101_9000_0060","char_YOUNG_WOMAN","A total defeat... You're amazing! I'll have to rethink my
deck from scratch!",""
"f_t0101_9000_0070","char_YOUNG_WOMAN","Hehe. Too bad! Feel free to challenge me again any time.",""
"f_t0101_9000_0080","char_YOUNG_WOMAN","Looks like it's my loss. Well played!",""
"f_t0101_9000_0090","char_YOUNG_WOMAN","I win! I was feeling pretty confident in my deck today!",""
"f_t0101_9000_0100","char_YOUNG_WOMAN","Oh, well. Let me know if you ever change your mind.",""
"f_t0101_0190_0010","char_YOUNG_MAN","Agent Alpha is a good anime. Did you know it's a remake?",""
"f_t0101_0190_0020","char_YOUNG_MAN","The older version has a lot of core fans in the animation
industry, too.",""
"f_t0101_0190_0030","char_YOUNG_MAN","And so they finally remade it! The staff that was involved
in it must've been so happy.",""
"f_t0101_0200_0010","char_YOUNG_MAN","There used to be a movie theater in the Nishi-Shinjuku area, 
but it was destroyed in the commotion eleven years ago.",""
"f_t0101_0200_0020","char_YOUNG_MAN","The animation director who was speaking
at the preview that day passed away there.",""
