int32 0,int32 1,int32 2,empty 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,empty 37,int32 38,int32 39,int32 40,int32 41,int32 42,empty 43,int32 44,int32 45,int32 46,int32 47,int32 48,empty 49,int32 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59,int32 60,empty 61,int32 62,int32 63,int32 64,int32 65,int32 66,empty 67,int32 68,int32 69,int32 70,int32 71
470400,4704,0,,-1,0,0,0,0,0,0,0,20471,,25,0,0,0,20472,,20,0,0,0,30013,,20,0,0,0,30036,,5,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
500200,5002,0,,-1,0,0,0,0,0,0,0,20501,,30,0,0,0,30313,,30,0,0,0,30013,,50,0,0,0,32071,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,40,0,0,0
1620200,16202,0,,-1,0,0,0,0,0,0,0,21622,,60,0,0,0,30053,,30,0,0,0,30063,,30,0,0,0,33011,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
3260300,32603,0,,-1,0,0,0,0,0,0,0,23261,,30,0,0,0,30013,,20,0,0,0,32071,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,30,0,0,0
7440200,74402,0,,-1,0,0,0,0,0,0,0,27441,,20,0,0,1,27442,,30,0,0,0,30036,,10,0,0,0,34021,,20,2,1,1,30156,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
7440201,74402,1,,-1,10,0,15,0,101,0,0,27441,,20,0,0,1,27442,,0,0,0,0,30036,,20,0,0,0,34021,,0,0,0,0,30156,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
7440202,74402,2,,-1,20,0,17,0,64,0,0,27441,,20,0,0,1,27442,,0,0,0,0,30036,,30,0,0,0,34021,,0,0,0,0,30156,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
7440203,74402,3,,-1,30,0,1,0,0,30,0,27441,,50,0,0,1,27442,,50,0,0,0,30036,,0,0,0,0,34021,,0,0,0,0,30156,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
7540300,75403,0,,-1,0,0,0,0,0,0,0,27541,,20,0,0,0,27542,,20,0,0,0,30183,,30,0,0,0,32101,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
7540301,75403,1,,-1,10,0,13,0,1,2,0,27541,,50,0,0,0,27542,,50,0,0,0,30183,,25,0,0,0,32101,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
