set_id,unknown_001,unknown_002,unknown_003,empty_004,empty_005,buff_01_effect,buff_01_rate,buff_01_change_percent,buff_01_turn_override,empty_010,buff_02_effect,buff_02_rate,buff_02_change_percent,buff_02_turn_override,empty_015,buff_03_effect,buff_03_rate,buff_03_change_percent,buff_03_turn_override,empty_020,buff_04_effect,buff_04_rate,buff_04_change_percent,buff_04_turn_override,empty_025,buff_05_effect,buff_05_rate,buff_05_change_percent,buff_05_turn_override,empty_030,buff_06_effect,buff_06_rate,buff_06_change_percent,buff_06_turn_override,empty_035,buff_07_effect,buff_07_rate,buff_07_change_percent,buff_07_turn_override,empty_040,buff_08_effect,buff_08_rate,buff_08_change_percent,buff_08_turn_override,empty_045,buff_09_effect,buff_09_rate,buff_09_change_percent,buff_09_turn_override,empty_050,buff_10_effect,buff_10_rate,buff_10_change_percent,buff_10_turn_override,empty_055,buff_11_effect,buff_11_rate,buff_11_change_percent,buff_11_turn_override
24491,-1,0,false,,,118,100,0,0,,119,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
26892,-1,0,false,,,94,100,20,2,,96,100,20,2,,46,100,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
574401,-1,0,true,,,325,100,30,-1,,332,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
574402,-1,0,true,,,325,100,30,-1,,326,100,20,-1,,328,100,20,-1,,332,100,20,-1,,108,100,2,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
575401,-1,0,true,,,394,100,20,-1,,396,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
575402,-1,0,true,,,333,100,10,-1,,335,100,10,-1,,340,100,10,-1,,339,100,50,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583901,-1,0,true,,,329,100,30,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583902,-1,0,true,,,326,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583903,-1,0,true,,,328,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583904,-1,0,true,,,330,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583905,-1,0,true,,,325,100,30,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
584701,-1,0,true,,,91,100,0,0,,325,100,60,-1,,326,100,60,-1,,328,100,60,-1,,329,100,60,-1,,330,100,60,-1,,332,100,60,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
584702,-1,0,true,,,329,100,40,-1,,330,100,40,-1,,326,100,40,-1,,328,100,40,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
584703,-1,0,true,,,329,100,20,-1,,330,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
595611,-1,0,true,,,325,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
595612,-1,0,true,,,327,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
595613,-1,0,true,,,332,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
