string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"d130_010_c02","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c03","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c06","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c09","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c11","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c13","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c15","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c16","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c17","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c19","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c20","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c23","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"d130_010_c25","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"e578","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"e579","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
"e580","r_f_hair02",0,"f_hair02",0,"f_hair03",0,"l_f_hair01",0,"",0,"",0,"",0,"",0,"",0,"",0
"e581","r_f_hair02",1,"f_hair02",1,"f_hair03",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0
