int32 0,string2 1,empty 2,int32 3,int32 4,float 5,int32 6,int32 7,string2 8,string2 9,int32 10,string2 11,int32 12,int32 13,int32 14,int32 15,int32 16,string2 17,int32 18,string2 19,string2 20,int32 21,string2 22,string2 23,int32 24,string2 25,string2 26,int32 27,string2 28,string2 29,int32 30,int32 31,int32 32,int32 33
5010040,"dlc_010_040_10",,1,0,0,0,0,"char_MIREI","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010041,"dlc_010_040_20",,1,4,30,0,0,"char_MIREI","d",5010040,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010050,"dlc_010_050_10",,1,0,0,0,0,"char_MIREI","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010051,"dlc_010_050_20",,1,4,30,0,0,"char_MIREI","d",5010050,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010052,"dlc_010_050_30",,1,4,60,0,0,"char_MIREI","d",5010051,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010060,"dlc_010_060_10",,1,0,0,0,0,"char_MIREI","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010061,"dlc_010_060_20",,1,4,30,0,0,"char_MIREI","d",5010060,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010070,"dlc_010_070_10",,1,0,0,0,0,"char_MIREI","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010071,"dlc_010_070_20",,1,4,30,0,0,"char_MIREI","d",5010070,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010080,"dlc_010_080_10",,1,0,0,0,0,"char_MIREI","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010081,"dlc_010_080_20",,1,4,30,0,0,"char_MIREI","d",5010080,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
5010090,"dlc_010_090_10",,1,0,0,0,0,"char_MIREI","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
