int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
10500301,6000110,0,1,"",0,0,"enemy_01","","","","","",22.989,0,-39.916,-37.644,1,1,-1,-1,-1,-1,"symbol01","fe02","",0,0,"",30,1,"",0,10,10,0,0,360,6,2,5,30,0,0,0,210,9.5,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,true,false,true,true,false,0,0,2,6,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500302,6000104,0,1,"",0,0,"enemy_02","","","","","",18.713,0,-42.33,56.901,1,1,-1,-1,-1,-1,"symbol01","fe02","",0,5,"",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500303,6000104,0,99,"",0,0,"enemy_03","","","","","",22.112,0,-44.911,8.937,1,1,-1,-1,-1,-1,"symbol01","fe03","",0,5,"ba01",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500304,6000104,0,99,"",0,0,"enemy_04","","","","","",25.446,0,-44.313,-25.473,1,1,-1,-1,-1,-1,"symbol01","fe01","",0,5,"ba01",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500305,6000104,0,99,"",0,0,"enemy_05","","","","","",27.921,0,-41.25,-70.45,1,1,-1,-1,-1,-1,"symbol01","fq02","",0,5,"ba01",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500306,6000104,0,1,"",0,0,"enemy_06","","","","","",25.857,0,-38.438,-117.338,1,1,-1,-1,-1,-1,"symbol01","fe04","",0,5,"",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500307,6000104,0,1,"",0,0,"enemy_07","","","","","",24.221,-0.001,-34.814,201.552,1,1,-1,-1,-1,-1,"symbol01","bn02","",0,5,"",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500308,6000104,0,1,"",0,0,"enemy_08","","","","","",20.495,0,-35.653,146.159,1,1,-1,-1,-1,-1,"symbol01","fe04","",0,5,"",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500309,6000104,0,1,"",0,0,"enemy_09","","","","","",17.971,-0.001,-38.558,110.059,1,1,-1,-1,-1,-1,"symbol01","fe01","",0,5,"",30,1,"",0,5,10,0,0,360,2,2,5,30,0,0,0,210,2,2,2,"enemy_01","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",true,true,false,false,true,true,false,0,0,2,5,4,"",0,2,0,6,24,5,"",0,0,1,-1,"",0,0,0,-1,"","",""
10500310,6000124,0,2,"",0,0,"enemy_10","","","","","",7.808,-0.001,25.351,-29.428,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,5,"fe04",30,1,"",0,-1,-1,0,0,360,6,2,5,30,0,0,0,210,9,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,3,"",0,4,0,7,34,5,"",0,3,1,-1,"",0,0,0,-1,"","",""
