int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
101202001,"",-1,"door_01","",false,"d1202door00",1,0,"","","","","",0,0,36.402,6.064,72.341,90,0,0,1,1,"wall_cl",6,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202002,"",-1,"","col",false,"f00iconobj00",1,0,"","","","","",0,0,-77.042,-0.015,104.769,0,0,0,1,1,"wall_cl",5,3,15,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202003,"",-1,"","col",false,"f00iconobj00",1,0,"","","","","",0,0,-89.981,1.075,5.202,0,0,0,1,1,"wall_cl",5,3,15,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202005,"",99,"DLCEP1_door_01","",false,"d50wooddoor00",1,0,"","","","","",0,0,0.4,5.968,-79,180,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202006,"",99,"DLCEP1_door_01_white","",false,"d50whiteexit00",1,0,"","","","","",0,0,0.4,5.968,-79,0,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202007,"",99,"DLCEP1_doorcol_01","",false,"f00iconobj00",1,0,"","","","","",0,0,0.4,5.968,-79,0,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202008,"",99,"DLCEP1_door_01_out","",false,"f00iconobj00",1,0,"","","","","",0,0,0.316,5.968,-79.967,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202009,"",99,"DLCEP1_door_01_start","",false,"f00iconobj00",1,0,"","","","","",0,0,0.37,5.968,-78.846,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202010,"",-1,"DLCEP1_door_02","",false,"d50wooddoor00",1,0,"","","","","",0,0,-68.08,-0.015,104.981,270,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202011,"",-1,"DLCEP1_doorcol_02","",false,"f00iconobj00",1,0,"","","","","",0,0,-68.08,-0.015,104.981,90,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202012,"",-1,"DLCEP1_moveend_02","",false,"f00iconobj00",1,0,"","","","","",0,0,-66.402,-0.015,104.964,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101202013,"",-1,"DLCEP1_movestart_02","",false,"f00iconobj00",1,0,"","","","","",0,0,-69.868,-0.015,105.041,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
