int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
90302001,"",2,"DLCEP1_door_01","",false,"d50wooddoor00",1,0,"","","","","",0,0,-20,0,8,180,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302002,"",2,"DLCEP1_door_01_white","",false,"d50whiteexit00",1,0,"","","","","",0,0,-20,0,8,0,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302003,"",2,"DLCEP1_doorcol_01","",false,"f00iconobj00",1,0,"","","","","",0,0,-20,0.3,8,0,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302004,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,28.086,0,-7.804,90,0,0,1,1,"wall_cl",10,4,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302005,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-27.797,0,13.373,90,0,0,1,1,"wall_cl",13,4,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302011,"",3,"DLCEP1_door_02","",false,"d50wooddoor00",1,0,"","","","","",0,0,0,0,6.5,0,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302012,"",3,"DLCEP1_door_02_white","",false,"d50whiteexit00",1,0,"","","","","",0,0,0,0,6.5,180,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302013,"",3,"DLCEP1_doorcol_02","",false,"f00iconobj00",1,0,"","","","","",0,0,0,0.3,6.5,180,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302014,"",4,"DLCEP1_door_03","",false,"d50wooddoor00",1,0,"","","","","",0,0,-20.539,0.001,-11.434,180,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302015,"",4,"DLCEP1_door_03_white","",false,"d50whiteexit00",1,0,"","","","","",0,0,-20.539,0.001,-11.434,0,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302016,"",4,"DLCEP1_doorcol_03","",false,"f00iconobj00",1,0,"","","","","",0,0,-20.539,0.004,-11.434,0,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302017,"",-1,"DLCEP1_door_01_out","",false,"f00iconobj00",1,0,"","","","","",0,0,-20,-0.001,7,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302018,"",-1,"DLCEP1_door_01_start","",false,"f00iconobj00",1,0,"","","","","",0,0,-20,0,8.5,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302019,"",-1,"DLCEP1_door_02_out","",false,"f00iconobj00",1,0,"","","","","",0,0,-0.039,0,9.872,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302020,"",-1,"DLCEP1_door_02_start","",false,"f00iconobj00",1,0,"","","","","",0,0,-0.037,0,5.917,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302021,"",-1,"DLCEP1_door_03_out","",false,"f00iconobj00",1,0,"","","","","",0,0,-20.444,-0.001,-12.918,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302022,"",-1,"DLCEP1_door_03_start","",false,"f00iconobj00",1,0,"","","","","",0,0,-20.514,0.002,-11.018,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90302100,"",-1,"obj_0001","",false,"f00iconobj00",1,0,"","ef_220022","","","",0,0,-1.584,0,-36.737,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
