int32 0,string3 1,string3 2,float 3,int32 4,int32 5,int32 6,int32 7,int32 8
90101,"","",180,10,2,0,0,0
90102,"t0102_railmove","",180,10,2,0,0,0
90103,"","",180,10,2,0,0,0
90107,"","",180,10,2,0,0,0
90110,"","",180,10,2,0,0,0
90301,"t0301_railmove","",180,10,2,0,0,0
90302,"t0302_railmove","",180,10,2,0,0,0
90402,"","",180,10,2,0,0,0
93004,"","",180,10,2,0,0,0
101002,"","",180,10,2,12,0,0
101202,"","",180,10,2,12,0,0
101204,"","",180,10,2,12,0,0
101302,"","",180,10,2,13,0,0
101303,"","",180,10,2,13,0,0
101304,"","",180,10,2,0,0,0
101401,"","d1401_railmove",180,10,2,0,0,0
101403,"","",180,10,2,0,0,0
101407,"","",180,10,2,0,0,0
105001,"","",180,10,1,0,0,0
105002,"","",180,10,1,0,0,0
105003,"","",180,10,1,0,0,0
120007,"","",180,10,1,0,0,0
