int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
210006001,1,"DLC01_mob0001","mob013030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-0.004,3.668,46.038,136.5,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006002,1,"DLC01_mob0002","mob012030101",0,0,0,"","","fn81","",0,0,"F01",0,0,0.249,6.687,47.268,0,177.5,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006003,1,"DLC01_mob0003","mob008030101",0,0,0,"","","fn80","",0,0,"F01",0,0,1.491,5.637,49.208,81.5,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006004,1,"DLC01_mob0004","mob007030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-0.981,8.855,41.761,-62.5,-25.5,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006005,1,"DLC01_mob0005","mob001030101",0,0,0,"","","fn80","",0,0,"F01",0,0,2.031,9.726,50.971,20,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006006,1,"DLC01_mob0006","mob051030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-2.44,9.5,51.379,-130.5,0,59.5,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006007,1,"DLC01_mob0007","mob015030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-3.489,9.658,44.88,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006008,1,"DLC01_mob0008","mob033030101",0,0,0,"","","fn81","",0,0,"F01",0,0,2.349,8.652,44.279,122,29.5,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006009,1,"DLC01_mob0009","mob032030101",0,0,0,"","","fn81","",0,0,"F01",0,0,-1.675,6.052,45.212,-84.5,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006010,-1,"DLC01_mob0010","mob013030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-23.022,3.668,39.868,73.5,180,180,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006011,-1,"DLC01_mob0011","mob012030101",0,0,0,"","","fn81","",0,0,"F01",0,0,-23.418,6.687,41.06,29.969,177.114,-1.443,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006012,-1,"DLC01_mob0012","mob008030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-23.313,5.637,43.361,51.5,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006013,-1,"DLC01_mob0013","mob007030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-21.73,8.855,35.675,-77.57,-112.557,90.11,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006014,-1,"DLC01_mob0014","mob001030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-23.727,9.726,45.158,-10,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006015,-1,"DLC01_mob0015","mob051030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-27.803,9.5,43.275,-19.5,180,-120.5,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006016,-1,"DLC01_mob0016","mob015030101",0,0,0,"","","fn80","",0,0,"F01",0,0,-25.462,9.658,37.122,-30,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006017,-1,"DLC01_mob0017","mob033030101",0,0,0,"","","fn81","",0,0,"F01",0,0,-20.105,8.652,39.521,74.805,-84.615,-110.053,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
210006018,-1,"DLC01_mob0018","mob032030101",0,0,0,"","","fn81","",0,0,"F01",0,0,-24.8,5.5,39.4,-65.5,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
