int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
180604001,1,"mob_0001","mob001",0,0,1,"","","fn01","",0,0,"F01",0,0,-19.699,0,-1.365,97.845,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604002,1,"mob_0002","mob015",0,0,1,"","","fn04","",0,0,"F01",0,0,-22.556,0.02,-11.105,97.845,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604003,1,"mob_0003","mob015",0,0,1,"","","fn01","",0,0,"F01",0,0,25.796,0,-12.724,-43.786,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604004,1,"mob_0004","mob074",0,0,1,"","","fn01","",0,0,"F01",0,0,24.605,0.061,-12.786,7.772,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604005,1,"mob_0005","mob013",0,0,1,"","","fn01","",0,0,"F01",0,0,25.276,0,-11.404,-119.757,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604006,1,"mob_0006","mob012",0,0,1,"","","fn01","",0,0,"F01",0,0,24.693,0,-11.502,89.371,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604007,1,"mob_0007","mob003",0,0,1,"","","fn01","",0,0,"F01",0,0,23.46,-0.02,-3.44,-80.02,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604008,1,"mob_0008","mob052",0,0,1,"","","fn01","",0,0,"F01",0,0,2.285,0,-16.703,-191.714,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604009,1,"mob_0009","mob053",0,0,1,"","","fn01","",0,0,"F01",0,0,2.843,0,-16.789,-150.822,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604010,1,"mob_0010","mob173",0,0,1,"","","fn52","",0,0,"F01",0,0,-15.18,0.05,-10.328,39.35,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604011,1,"mob_0011","mob001",0,0,1,"","","fn15","",0,0,"F01",0,0,-1.799,0,-14.625,201.286,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604012,1,"mob_0012","mob075",0,0,1,"","","fn07","",0,0,"F01",0,0,5.99,0,-14.315,16.957,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604013,1,"mob_0013","mob074",0,0,1,"","","fn10","",0,0,"F01",0,0,-6.296,0,26.855,-123.391,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604014,1,"mob_0014","mob041",0,0,1,"","","fn02","",0,0,"F01",0,0,-17.928,-0.005,19.003,260.627,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604015,1,"mob_0015","mob063",0,0,1,"","","fn04","",0,0,"F01",0,0,-18.049,0.046,5.051,-292.301,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604016,1,"mob_0016","mob019",0,0,1,"mob19_escape","","fn01","",0,0,"F01",0,0,-19.049,0.001,-9.116,-33.807,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604017,1,"mob_0017","mob018",0,0,1,"","","fn01","",0,0,"F01",0,0,-19.976,0.942,-16.615,-44.764,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604018,1,"mob_0018","mob018",0,0,1,"","","fn01","",0,0,"F01",0,0,-20.284,0.924,-16.726,19.44,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604019,1,"mob_0019","mob019",0,0,1,"mob19_escape","","fn01","",0,0,"F01",0,0,-19.583,0.007,-7.264,67.343,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604020,1,"mob_0020","mob019",0,0,1,"mob19_escape","","fn01","",0,0,"F01",0,0,-20.151,0.004,-8.911,17.231,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604021,1,"mob_0021","mob019",0,0,1,"mob19_escape","","fn01","",0,0,"F01",0,0,-18.398,0.008,-7.785,92.769,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604022,1,"mob_0022","mob019",0,0,1,"mob19_escape","","fn01","",0,0,"F01",0,0,-20.434,0.007,-7.868,69.53,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604023,1,"mob_0023","mob081",0,0,1,"","","fn35","",0,0,"F01",0,0,-18.855,0.09,18.487,99.473,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604024,1,"mob_0024","mob081",0,0,1,"","","fw01","",0,0,"F01",0,0,8.04,0,-0.453,133.357,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_08",1,0,false,-1,"","","","","",""
180604025,1,"mob_0025","mob014",0,0,1,"","","fn54","",0,0,"F01",0,0,-9.516,0,-4.328,400.708,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604026,1,"mob_0026","mob083",0,0,1,"","","fn51","",0,0,"F01",0,0,8.697,0,24.096,-103.597,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604027,1,"mob_0027","mob001",0,0,1,"","","fn01","",0,0,"F01",0,0,34.577,1.997,-5.085,277.105,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_06",1,0,false,-1,"","","","","",""
180604028,1,"mob_0028","mob071",0,0,1,"","","fn22","",0,0,"F01",0,0,-17.952,0,1.327,66.845,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604029,1,"mob_0029","mob015",0,0,1,"","","fn09","",0,0,"F01",0,0,-10.455,-0.001,-9,-189.727,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604030,1,"mob_0030","mob063",0,0,1,"","","fn70","",0,0,"F01",0,0,12.103,-0.001,0.856,76.678,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604031,1,"mob_0031","mob014",0,0,1,"","","fw01","",0,0,"F01",0,0,1.625,0,42.344,199.839,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_07",1,0,false,-1,"","","","","",""
180604032,1,"mob_0032","mob095",0,0,1,"","","fn22","",0,0,"F01",0,0,18.064,-0.006,5.611,284.16,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604033,1,"mob_0033","mob153",0,0,1,"","","fn50","",0,0,"F01",0,0,7.641,0,23.126,57.266,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604034,1,"mob_0034","mob115",0,0,1,"","","fn04","",0,0,"F01",0,0,-21.593,0,29.929,82.176,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604035,1,"mob_0035","mob001",0,0,1,"","","fw01","",0,0,"F01",0,0,-5.68,0,12.697,159.272,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_08",1,0,false,-1,"","","","","",""
180604036,1,"mob_0036","mob084",0,0,1,"","","fn56","",0,0,"F01",0,0,-12.462,-0.001,-3.99,53.936,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604037,1,"mob_0037","mob003",0,0,1,"","","fn06","",0,0,"F01",0,0,-6.446,0,5.713,-116.327,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604038,1,"mob_0038","mob015",0,0,1,"","","fw01","",0,0,"F01",0,0,-34.841,2.241,14.751,97.764,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_10",1,0,false,-1,"","","","","",""
180604039,1,"mob_0039","mob034",0,0,1,"","","fn08","",0,0,"F01",0,0,-7.269,0,26.594,41.962,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604040,1,"mob_0040","mob001",0,0,1,"","","fn05","",0,0,"F01",0,0,18.328,0,26.776,-32.475,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_07",1,0,false,-1,"","","","","",""
180604041,1,"mob_0041","mob061",0,0,1,"","","fn51","",0,0,"F01",0,0,-12.817,0,-2.335,136.141,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604042,1,"mob_0042","mob064",0,0,1,"","","fw01","",0,0,"F01",0,0,6.275,0,20.268,-1.812,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_06",1,0,false,-1,"","","","","",""
180604043,1,"mob_0043","mob012",0,0,1,"","","fn05","",0,0,"F01",0,0,27.866,0.026,13.648,-72.305,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,false,-1,"","","","","",""
180604044,1,"mob_0044","mob014",0,0,1,"","","fn22","",0,0,"F01",0,0,27.912,0,14.444,-139.436,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604045,1,"mob_0045","mob033",0,0,1,"","","fn02","",0,0,"F01",0,0,18.079,-0.01,4.358,19.71,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604046,1,"mob_0046","mob032",0,0,1,"","","fn54","",0,0,"F01",0,0,17.271,0,5.231,71.168,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,false,-1,"","","","","",""
180604047,1,"mob_0047","mob115",0,0,1,"","","fn01","",0,0,"F01",0,0,-13.271,0,-3.904,-308.446,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604048,1,"mob_0048","mob064",0,0,1,"","","fn23","",0,0,"F01",0,0,-17.254,0.046,1.99,103.768,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604049,1,"mob_0049","mob016",0,0,1,"","","fn04","",0,0,"F01",0,0,-22.504,-0.001,-8.096,95.472,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","rail_move_08",1,0,false,-1,"","","","","",""
180604050,1,"mob_0050","mob021",0,0,1,"","","fn04","",0,0,"F01",0,0,-20.021,0,19.916,35.388,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,false,-1,"","","","","",""
180604051,1,"mob_0051","mob003",0,0,1,"","","fw01","",0,0,"F01",0,0,-7.546,-0.001,34.732,9.47,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_010",1,0,false,-1,"","","","","",""
180604052,1,"mob_0052","mob041",0,0,1,"","","fn01","",0,0,"F01",0,0,-24.553,0,21.007,277.222,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,false,-1,"","","","","",""
180604053,1,"mob_0053","mob014",0,0,1,"","","fw01","",0,0,"F01",0,0,-17.718,0,16.153,-101.709,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_09",1,0,false,-1,"","","","","",""
180604054,99,"mob_0054","mob091",0,0,1,"","","fw01","",0,0,"F01",0,0,-36.557,3.043,10.385,97.764,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,false,-1,"","","","","",""
180604055,1,"mob_0055","mob063",0,0,1,"","","fw02","",0,0,"F01",0,0,32.355,1.81,-8.833,-77.532,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_03",1,0,false,-1,"","","","","",""
180604056,99,"mob_0056","mob021",0,0,1,"","","fw01","",0,0,"F01",0,0,-1.039,-0.01,-5.603,105.699,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,false,-1,"","","","","",""
180604057,99,"mob_0057","mob034",0,0,1,"","","fw01","",0,0,"F01",0,0,-16.669,-0.011,5.789,119.215,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,false,-1,"","","","","",""
180604058,1,"mob_0058","mob054",0,0,1,"","","fw01","",0,0,"F01",0,0,12.524,-0.001,-5.566,-68.617,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_01",1,0,false,-1,"","","","","",""
180604059,1,"mob_0059","mob015",0,0,1,"","","fw01","",0,0,"F01",0,0,-2.79,0,0.317,-251.296,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_02",1,0,false,-1,"","","","","",""
180604060,1,"mob_0060","mob015",0,0,1,"","","fw01","",0,0,"F01",0,0,-5.069,-0.001,-0.697,-56.733,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_03",1,0,false,-1,"","","","","",""
180604061,2,"mob_0061","mob001",0,0,1,"","","fn52","",0,0,"F01",0,0,26.092,0,-11.758,-87.299,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604062,2,"mob_0067","mob003",0,0,1,"","","fn01","",0,0,"F01",0,0,23.46,-0.02,-3.44,-80.02,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604063,2,"mob_0071","mob001",0,0,1,"","","fn15","",0,0,"F01",0,0,10.452,-0.002,20.694,201.286,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604064,2,"mob_0072","mob075",0,0,1,"","","fn07","",0,0,"F01",0,0,1.568,0,-15.751,16.957,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604065,2,"mob_0073","mob074",0,0,1,"","","fn10","",0,0,"F01",0,0,-10.471,0,-10.268,-17.788,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604066,2,"mob_0075","mob063",0,0,1,"","","fn04","",0,0,"F01",0,0,16.484,0.062,38.79,-131.797,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604067,2,"mob_0077","mob018",0,0,1,"","","fn01","",0,0,"F01",0,0,-19.976,0.942,-16.615,-44.764,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604068,2,"mob_0078","mob018",0,0,1,"","","fn01","",0,0,"F01",0,0,-20.284,0.924,-16.726,19.44,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,false,-1,"","","","","",""
180604069,2,"mob_0084","mob081",0,0,1,"","","fw01","",0,0,"F01",0,0,8.04,0,-0.453,133.357,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_08",1,0,false,-1,"","","","","",""
180604070,2,"mob_0085","mob014",0,0,1,"","","fn54","",0,0,"F01",0,0,20.694,-0.003,12.148,288.069,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604071,2,"mob_0086","mob083",0,0,1,"","","fn51","",0,0,"F01",0,0,24.955,-0.001,20.673,-103.597,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604072,2,"mob_0087","mob001",0,0,1,"","","fn01","",0,0,"F01",0,0,34.577,1.997,-5.085,277.105,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_06",1,0,false,-1,"","","","","",""
180604073,2,"mob_0088","mob071",0,0,1,"","","fn22","",0,0,"F01",0,0,-17.952,0,1.327,66.845,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604074,2,"mob_0089","mob015",0,0,1,"","","fn09","",0,0,"F01",0,0,-10.455,-0.001,-9,-189.727,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604075,2,"mob_0090","mob063",0,0,1,"","","fn70","",0,0,"F01",0,0,12.103,-0.001,0.856,76.678,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604076,2,"mob_0091","mob014",0,0,1,"","","fw01","",0,0,"F01",0,0,1.625,0,42.344,199.839,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_07",1,0,false,-1,"","","","","",""
180604077,2,"mob_0093","mob153",0,0,1,"","","fn50","",0,0,"F01",0,0,18.468,-0.001,6.169,-56.829,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604078,2,"mob_0094","mob115",0,0,1,"","","fn04","",0,0,"F01",0,0,-21.593,0,29.929,82.176,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604079,2,"mob_0096","mob084",0,0,1,"","","fn56","",0,0,"F01",0,0,19.709,-0.003,12.079,115.956,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604080,2,"mob_0097","mob003",0,0,1,"","","fn06","",0,0,"F01",0,0,12.031,-0.001,-14.074,-116.327,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604081,2,"mob_0099","mob034",0,0,1,"","","fn08","",0,0,"F01",0,0,-25.11,0.008,6.839,70.962,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604082,2,"mob_0100","mob001",0,0,1,"","","fn05","",0,0,"F01",0,0,18.328,0,26.776,-32.475,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","rail_move_07",1,0,false,-1,"","","","","",""
180604083,2,"mob_0101","mob061",0,0,1,"","","fn51","",0,0,"F01",0,0,-15.918,-0.001,24.202,197.66,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604084,2,"mob_0102","mob064",0,0,1,"","","fw01","",0,0,"F01",0,0,6.275,0,20.268,-1.812,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_06",1,0,false,-1,"","","","","",""
180604085,2,"mob_0107","mob115",0,0,1,"","","fn01","",0,0,"F01",0,0,-24.652,-0.001,22.344,-436.247,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604086,2,"mob_0108","mob064",0,0,1,"","","fn23","",0,0,"F01",0,0,-17.254,0.046,1.99,103.768,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,false,-1,"","","","","",""
180604087,2,"mob_0110","mob021",0,0,1,"","","fn04","",0,0,"F01",0,0,-20.021,0,19.916,35.388,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,false,-1,"","","","","",""
180604088,2,"mob_0112","mob041",0,0,1,"","","fn01","",0,0,"F01",0,0,27.056,0,1.768,101.229,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,false,-1,"","","","","",""
180604089,2,"mob_0113","mob014",0,0,1,"","","fw01","",0,0,"F01",0,0,-17.718,0,16.153,-101.709,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_09",1,0,false,-1,"","","","","",""
180604090,99,"mob_0114","mob091",0,0,1,"","","fw01","",0,0,"F01",0,0,-36.557,3.043,10.385,97.764,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,false,-1,"","","","","",""
180604091,2,"mob_0118","mob054",0,0,1,"","","fw01","",0,0,"F01",0,0,12.524,-0.001,-5.566,-68.617,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_01",1,0,false,-1,"","","","","",""
180604092,2,"mob_0119","mob015",0,0,1,"","","fw01","",0,0,"F01",0,0,-2.79,0,0.317,-251.296,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_02",1,0,false,-1,"","","","","",""
