string2 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,int32 9
"FLAG_DLC_EP01_002",29002,3100,0,"t",3001,0,"start_00","P2028_daft_440",1
"FLAG_DLC_EP01_003",29003,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_004",29004,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_005",29005,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_006",29006,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_007",29007,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_008",29008,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_009",29009,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_010",29010,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_011",29011,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_012",29012,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_013",29013,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_014",29014,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_015",29015,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_016",29016,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_017",29017,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_018",29018,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_019",29019,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_020",29020,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_021",29021,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_022",29022,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_023",29023,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_024",29024,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_025",29025,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_026",29026,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_027",29027,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_028",29028,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_029",29029,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_030",29030,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_031",29031,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_032",29032,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_033",29033,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_034",29034,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_035",29035,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_036",29036,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_037",29037,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_038",29038,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_039",29039,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_040",29040,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_041",29041,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_042",29042,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_043",29043,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_044",29044,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_045",29045,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_046",29046,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_047",29047,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_048",29048,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_049",29049,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_050",29050,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_051",29051,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_052",29052,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_053",29053,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_054",29054,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_055",29055,3100,30,"dep01d",5001,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_056",29056,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_057",29057,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_058",29058,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_059",29059,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_060",29060,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_061",29061,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_062",29062,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_DLC_EP01_063",29063,3100,50,"dep01d",5002,0,"start_01","DLC001_dbef_50",1
"FLAG_DLC_EP01_064",29064,3100,50,"dep01d",5002,0,"start_01","DLC001_dbef_50",1
"FLAG_DLC_EP01_065",29065,3100,50,"dep01d",5002,0,"start_01","DLC001_dbef_50",1
"FLAG_DLC_EP01_066",29066,3100,50,"dep01d",5002,0,"start_01","DLC001_dbef_50",1
"FLAG_DLC_EP01_067",29067,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_068",29068,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_069",29069,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_070",29070,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_071",29071,3100,40,"dep01d",5003,0,"start_30","DLC001_dbef_40",1
"FLAG_IS_CLEAR_DLC010_010",29100,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP01_IS_RETURNLOBBY",29101,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP01_IS_GETONCEITEM",29102,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP01_IS_SENDDIGITTER_01",29150,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_IS_SENDDIGITTER_02",29151,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_IS_SENDDIGITTER_03",29152,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_IS_SENDDIGITTER_04",29153,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_IS_SENDDIGITTER_05",29154,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_BTL010",29210,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_BTL015",29215,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_BTL020",29220,3100,0,"t",3001,0,"start_00","DLC001_dbef_10",1
"FLAG_DLC_EP01_BTL025",29225,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_BTL030",29230,3100,20,"dep01d",5003,0,"start_26","DLC001_dbef_20",1
"FLAG_DLC_EP01_BTL035",29235,3100,30,"dep01t",302,0,"start_00","DLC001_dbef_30",1
"FLAG_DLC_EP01_BTL040",29240,3100,50,"dep01d",5003,0,"start_30","DLC001_dbef_50",1
"FLAG_DLC_EP01_BTL045",29245,3100,50,"dep01d",5003,0,"start_30","DLC001_dbef_50",1
"FLAG_DLC_EP01_BTL050",29250,3100,50,"dep01d",5003,0,"start_30","DLC001_dbef_50",1
"FLAG_DLC_EP01_BTL055",29255,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP01_BTL060",29260,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP01_BTL065",29265,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP01_BTL070",29270,-1,0,"t",101,0,"start_00","FirstPresent",1
