chr_id,lod_distance_1,lod_distance_2,lod_distance_3,lod_distance_4,lod_distance_5,lod_distance_6,lod_distance_7,lod_distance_8,lod_distance_9,lod_distance_10
"chr689",20,65,500,0,0,0,0,0,0,0
"chr690",20,65,500,0,0,0,0,0,0,0
"chr691",20,65,500,0,0,0,0,0,0,0
"chr692",20,65,500,0,0,0,0,0,0,0
"chr693",20,65,500,0,0,0,0,0,0,0
"chr848",0,0,0,0,0,0,0,0,0,0
"chr849",0,0,0,0,0,0,0,0,0,0
"chr860",0,0,0,0,0,0,0,0,0,0
"chr861",0,0,0,0,0,0,0,0,0,0
"chr862",0,0,0,0,0,0,0,0,0,0
"chr868",0,0,0,0,0,0,0,0,0,0
"chr869",0,0,0,0,0,0,0,0,0,0
"chr870",0,0,0,0,0,0,0,0,0,0
"chr871",0,0,0,0,0,0,0,0,0,0
"chr872",0,0,0,0,0,0,0,0,0,0
"npc005b",20,40,500,0,0,0,0,0,0,0
