int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,string2 6,string2 7,string2 8,string2 9,string2 10
0,0,0,0,-1,-1,"dep01t0101","dep01t0102","dep01t0103","dep01t0110","last"
1000,0,100,0,-1,-1,"","","","","last"
2000,0,200,0,-1,-1,"","","","","last"
3000,0,300,0,-1,-1,"","","","","last"
4000,0,400,0,-1,-1,"","","","","last"
30000,0,3000,0,-1,-1,"","","","","last"
101000,10000,100,0,-1,-1,"","","","","last"
102000,10000,200,0,-1,-1,"","","","","last"
103000,10000,300,0,-1,-1,"","","","","last"
104000,10000,400,0,-1,-1,"","","","","last"
105000,10000,500,0,-1,-1,"","","","","last"
106000,10000,600,0,-1,-1,"","","","","last"
107000,10000,700,0,-1,-1,"","","","","last"
108000,10000,800,0,-1,-1,"","","","","last"
109000,10000,900,0,-1,-1,"","","","","last"
110000,10000,1000,0,-1,-1,"","","","","last"
111000,10000,1100,0,-1,-1,"","","","","last"
112000,10000,1200,0,-1,-1,"","","","","last"
113000,10000,1300,0,-1,-1,"","","","","last"
114000,10000,1400,0,-1,-1,"","","","","last"
201000,20000,100,0,-1,-1,"","","","","last"
202000,20000,200,0,-1,-1,"","","","","last"
203000,20000,300,0,-1,-1,"","","","","last"
204000,20000,400,0,-1,-1,"","","","","last"
205000,20000,500,0,-1,-1,"","","","","last"
206000,20000,600,0,-1,-1,"","","","","last"
207000,20000,700,0,-1,-1,"","","","","last"
208000,20000,800,0,-1,-1,"","","","","last"
901010,90000,101,0,-1,-1,"","","","evt_0001","last"
901020,90000,102,0,-1,-1,"","","evt_0001","evt_0001","last"
901030,90000,103,0,-1,-1,"","evt_0002","","evt_0001","last"
901100,90000,110,0,-1,-1,"evt_0002","","","","last"
