chr_id,empty_001,unk_string2_002,unk_string2_003,unk_string2_004,unk_float_005,empty_006,empty_007,unk_float_008,unk_float_009,npc_collision,unk_float_011,unk_float_012,unk_float_013,unk_float_014,unk_float_015,unk_float_016,unk_float_017,unk_float_018,unk_float_019,unk_float_020,unk_float_021,unk_float_022,unk_float_023,unk_float_024,unk_float_025,unk_float_026,unk_string2_027,unk_string2_028,unk_string2_029,unk_string2_030,unk_string2_031,unk_string2_032,unk_float_033,unk_float_034,unk_float_035,unk_float_036,unk_int32_037,digimon_distance_from_agent,agent_distance_2,agent_distance,unk_float_041,unk_float_042,camera_distance_skill,unk_float_044,unk_float_045,unk_float_046,shield_size,empty_048,empty_049,empty_050,unk_float_051,unk_string2_052,unk_float_053,unk_float_054,unk_float_055,battle_scale,unk_float_057,menu_scale,field_scale,unk_float_060,unk_float_061,unk_float_062,unk_float_063,unk_int32_064,unk_int32_065,unk_int32_066,unk_int8_067,unk_int8_068,unk_int8_069,unk_int8_070,rideable,empty_072,unk_int32_073,unk_int32_074,unk_int8_075,unk_int8_076,unk_int8_077,unk_int8_078,unk_string2_079,unk_int32_080,unk_int32_081
"chr848",,"","","",1,,,0.3,1.8,1.8,4.5,1.8,3,0.3,1.8,1.8,3,1.008,2.52,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.5,1.5,210,2.2,1.8,6.1,0,0,0,2.013,,,,1.03,"CP01",0,0.2,0,1,1.4,0.56,0.56,1.65,1,1.65,1,14,18,310012,0,-1,-1,-1,2,,0,1,1,0,2,0,"CP01",0,0
"chr849",,"","","",1,,,0.3,1.8,1.476,4.182,1.476,3,0.3,1.8,1.476,3,0.82656,2.34192,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.5,1.5,190,1,2.1,3.7,0,0,0,1.036,,,,0.9,"CP01",0,0.2,0,1,1.4,0.56,0.56,1.4,1,1.4,1,13,18,310003,7,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr689",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,1.92,-1,0.4,1,2.5,0.6,190,1.3,1.3,2.5,0,0,0,0.75,,,,0.75,"CP01",0,0.2,0,1,2.4,0.8,1,1.5,0.8,1.15,1.15,25,18,310012,0,-1,-1,-1,1,,0,1,0,0,1,2,"CP01",1,0
"chr690",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,1.44,-1,0.4,1,3.7,0.4,180,1.2,1.5,3.5,0,0,0,0.7,,,,0.7,"CP01",0,0.2,0,1,1.8,0.6,0.75,1,0.5,0.85,0.85,19,18,310003,10,-1,-1,-1,2,,0,1,0,2,1,0,"CP01",1,0
"chr691",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",5.2,1.84,-1,0.24,1,2.5,1.4,180,2,1.9,5,0,0,0,0.88,,,,0.88,"CP01",0,0.2,0,0.88,2.3,0.7,0.7,1,0.8,1,1,14,18,310003,5,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr860",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,1.5,210,2,1.9,5,0,0.5,0.5,1.45,,,,0.8,"CP01",0,0.2,0,1,1,0.45,0.7,1.45,0.8,1.45,1,14,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr693",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",5.2,1.84,-1,0.24,1,2.5,1.4,180,2,1.9,5,0,0,0,0.88,,,,0.88,"CP01",0,0.2,0,0.88,2.3,0.7,0.7,1,0.8,1,1,14,18,310003,5,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr862",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,1.5,210,2,1.9,5,0,0.5,0.5,1.47,,,,0.8,"CP01",0,0.2,0,1,1,0.45,0.7,1.47,0.8,1.47,1,14,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr692",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",5.2,1.84,-1,0.24,1,3.5,1,180,1.8,1.7,4.7,0,0,0,0.8272,,,,0.8272,"CP01",0,0.2,0,0.88,2.3,0.7,0.7,1,0.8,1,1,19,18,310010,8,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr861",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,1.5,210,1.8,1.7,4.7,0,0.5,0.5,1.41,,,,0.8,"CP01",0,0.2,0,1,1,0.45,0.45,1.5,1,1.5,1,19,18,310010,8,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr868",,"","","",1,,,0.3,1.8,2.12,5.3,2.12,3,0.3,1.8,2.12,3,1.2084,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,2.8,1.4,185,1.8,1.1,4.3,0,0,0,0.9116,,,,0.9116,"CP01",0,0.2,0,1.06,1.4,0.57,0.57,1,1,1.22,1,21,18,310013,0,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr869",,"","","",1,,,0.3,1.8,2.025,5.4,2.025,3,0.3,1.8,2.025,3,1.07325,2.862,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,2.7,1,180,1.3,2.1,3,0,0,0,0.81,,,,0.81,"CP01",0,0.2,0,1.35,1.4,0.53,0.53,1,1,1.85,1,26,18,310016,0,10,-1,-1,1,,0,1,0,0,1,2,"CP01",0,0
"chr870",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,1.7,0,180,1.3,1.3,2.8,0,0,0,0.56,,,,0.56,"CP01",0,0.2,0,1,1.4,1,1,1,1,1.15,1.15,25,18,310012,0,-1,-1,-1,0,,0,1,0,0,1,2,"CP01",1,0
