key,text
"24491","Absorbent Bang"
"24492","Endless Trance"
"26891","Plasma Stake"
"26892","Elec Guard"
"26901","Beast Cyclone"
"26902","Fury: Ice Moon Fang"
"26911","Supreme Sword"
"26912","Transcendent Cannon"
"26921","Transcendent Sword"
"26922","Supreme Cannon"
"26931","Supreme Sword"
"26932","Transcendent Cannon"
"27443","Allow me to perform your last rites!"
"27444","For an enemy, they're amazing!"
"27543","Let's be fully prepared!"
"27544","Let's take action!"
"28471","{d0} mustered their strength!"
"51000","Digimon from another dimension have been summoned!"
