int32 0,empty 1,string2 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int32 11
1008511,,"J_head",45,45,30,60,100,0,0,0,0
1008512,,"J_neck",15,15,10,20,100,0,0,0,0
1008471,,"J_head",60,60,15,20,100,0,0,0,0
1008472,,"J_neck",60,60,15,15,100,0,0,0,0
1004481,,"J_head",55,55,10,40,100,0,0,0,0
1008581,,"J_head",55,55,10,40,100,0,0,0,0
1008731,,"J_head",55,55,10,40,100,0,0,0,0
1008732,,"J_neck",20,20,20,20,100,0,0,0,0
1004851,,"J_head",55,55,30,40,100,0,0,0,0
1008521,,"J_head",55,55,30,40,100,0,0,0,0
1004861,,"J_head",55,55,10,40,100,0,0,0,0
1004871,,"J_head",55,55,10,40,100,0,0,0,0
1008531,,"J_head",55,55,10,40,100,0,0,0,0
1004881,,"J_head",0,0,0,0,100,0,0,0,0
