int32 0,empty 1,empty 2,empty 3,string2 4,int32 5,string2 6,int32 7,float 8,int32 9,int32 10,int32 11,int32 12,bool 13,empty 14
24481,,,,"ef_b_chr448_bs01",1,"",3,0,1,0,-1,-1,false,
24482,,,,"ef_b_chr448_bs02",1,"",3,0,1,0,-1,-1,false,
24851,,,,"ef_b_chr485_bs01",1,"",3,0,1,0,-1,-1,false,
24852,,,,"ef_b_chr485_bs02",1,"",3,0,1,0,-1,-1,false,
24861,,,,"ef_b_chr486_bs01",1,"",3,0,1,0,-1,-1,false,
24862,,,,"ef_b_chr486_bs02",1,"",3,0,1,0,-1,-1,false,
24871,,,,"ef_b_chr487_bs01",1,"",3,0,1,0,-1,-1,false,
24872,,,,"ef_b_chr487_bs02",1,"",3,0,1,0,-1,-1,false,
24881,,,,"ef_b_chr488_bs01",1,"",3,0,1,0,-1,-1,false,
24882,,,,"ef_b_chr488_bs02",1,"",3,0,1,0,-1,-1,false,
