skill_id,empty_001,empty_002,empty_003,name_id,fixed_description_id,unk_int32_006,bool_007,bool_008,unk_int32_009,animation_id,unk_int32_011,effect_id,empty_013,unk_int32_014,empty_015,effect_group_id,empty_017,unk_int32_018,empty_019,unk_int32_020,unknown_021,damage_type,power,unk_int32_024,unk_int32_025,additional_property_1,additional_property,element,increased_damage_against_class,unused_030,unused_031,menu_icon,target_type,min_hits,max_hits,sp_cost,unknown_037,cp_cost,always_hits,accuracy,unknown_041,crit_rate,hp_drain,sp_drain,recoil,conditional_type,conditional_effect,conditional_empty,conditional_arg,conditional_effect_arg,conditional_empty_2,buff_set_01,buff_set_01_empty,buff_set_02,buff_set_02_empty,buff_set_03,buff_set_03_empty,buff_set_04,buff_set_04_empty,buff_set_05,buff_set_05_empty,empty_062,jogress_skill_id,jogress_partner_1,empty_065,jogress_partner_2,empty_067,unk_int32_068,empty_069,unk_int32_070,empty_071,skill_debug_name
24481,,,,24481,0,24481,true,true,30011,3,1,24481,,0,,12011,,0,,0,2,1,110,100,1,0,0,9,24,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24482,,,,24482,0,24482,true,true,30101,4,1,24482,,0,,12004,,0,,0,2,1,110,100,1,0,0,2,13,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24495,,,,24491,0,24495,true,true,30281,3,1,24491,,0,,12012,,0,,0,2,1,75,100,1,1,0,10,7,-1,-1,-1,1,1,1,200,5,12,0,100,1,5,0,0,0,0,0,,0,0,,0,,24493,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24851,,,,24851,0,24851,true,true,30221,3,1,24851,,0,,12008,,0,,0,2,1,90,100,1,0,0,6,16,-1,-1,-1,1,1,1,230,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24852,,,,24852,0,24852,true,true,30011,4,1,24852,,0,,12003,,0,,0,2,1,75,100,1,0,0,1,16,-1,-1,-1,5,1,1,285,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24853,,,,24851,0,24853,true,false,0,3,1,24851,,0,,12008,,0,,0,2,1,155,100,1,0,0,6,16,-1,-1,-1,1,1,1,260,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,134020,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24861,,,,24861,0,24861,true,true,30071,3,1,24861,,0,,12005,,0,,0,2,2,90,100,1,0,0,3,21,-1,-1,-1,1,1,1,245,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24862,,,,24862,0,24862,true,true,30071,4,1,24862,,0,,12005,,0,,0,2,1,85,100,1,0,0,3,7,-1,-1,-1,1,1,1,270,5,0,0,100,1,20,0,0,0,2,2,,0,0,,103000,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24863,,,,24861,0,24863,true,false,0,3,1,24861,,0,,12005,,0,,0,2,2,150,100,1,0,0,3,21,-1,-1,-1,1,1,1,285,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,108100,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24871,,,,24871,0,24871,true,true,30161,3,1,24871,,0,,12010,,0,,0,2,1,90,100,1,0,0,8,15,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,134020,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
