int32 0,int32 1,int32 2
1300010,-1,-1
1300019,-1,-1
1301010,-1,-1
1301011,900,220040
1301020,-1,-1
1301021,900,621000
1301030,-1,-1
1301031,900,621000
1301050,-1,-1
1301051,900,220079
1301070,-1,-1
1301071,-1,220084
1301080,-1,-1
1301081,900,621001
1302010,-1,-1
1302011,912,220250
1303040,-1,-1
1303041,900,220064
1330040,-1,-1
1330041,114,220352
1413010,-1,-1
1413011,906,221400
1413020,-1,-1
1413021,906,221402
1413040,-1,-1
1413041,906,221407
1414070,-1,-1
1414071,-1,621002
1450010,-1,-1
1450011,990,220351
1450040,-1,-1
1450041,995,220351
1450042,320,220351
1450050,990,-1
1450051,990,220351
