chr_id,lod_model_ref_01,lod_model_ref_02,lod_model_ref_03,lod_model_ref_04,lod_model_ref_05,lod_model_ref_06,lod_model_ref_07,lod_model_ref_08,lod_model_ref_09,lod_model_ref_10
"chr448","","chr448_LOD_2","","","","","","","",""
"chr485","","chr485_LOD_2","","","","","","","",""
"chr486","","chr486_LOD_2","","","","","","","",""
"chr487","","chr487_LOD_2","","","","","","","",""
"chr488","","chr488_LOD_2","","","","","","","",""
"chr847","","","","","","","","","",""
"chr851","","","","","","","","","",""
"chr852","","","","","","","","","",""
"chr853","","","","","","","","","",""
"chr858","","","","","","","","","",""
"chr873","","chr873_LOD_2","","","","","","","",""
