key,text
"140101","Higashi-Shinjuku: Vision Square"
"140102","Higashi-Shinjuku: Koshu-Kaido Intersection"
"140103","Shinjuku: Kabukicho, Theater Square"
"140105","Marunonaka Line: Shinjuku Station"
"140107","Wall of Hope"
"140108","Seibu-Shinjuku: Overbridge Intersection"
"140201","Akihabara Station: Electric Town South Exit"
"140304","Nishi-Shinjuku: Tocho Chuo-dori Avenue"
"143004","Elevator Hall"
"151301","Special Forces Underground Base: Research Division"
"151302","Special Forces Underground Base: Restricted Area"
"151304","Special Forces Underground Base: Gantry"
"151407","Tokyo Metropolitan Government Building: Roof"
"155001","White Room"
"155004","Strange Hallway"
"155005","Circular Hallway"
