int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string3 17,int32 18,int32 19,int32 20,string2 21,string2 22,string2 23,int32 24,int32 25,float 26,string3 27,string3 28,string3 29,string3 30,string3 31,string3 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,bool 45,bool 46,int32 47,int32 48,string2 49,float 50,int32 51,float 52,float 53,float 54,float 55,int32 56,float 57,float 58,float 59,float 60,bool 61,bool 62
17010600,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_t0106",1,1,1,"","t0106_railcam","dep03t0106p",-99,1,4,"dep03t01","dep03t01npc","dep03t01gim","dep03t01prcs","","dep03t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,false,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
17010800,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_t0138",1,2,1,"","cam01_railcam","dep03t0108p",-99,1,4,"dep03t01","dep03t01npc","dep03t01gim","dep03t01prcs","","dep03t01ctrl",35,45,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
17020300,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_t0203",1,1,1,"","cam01_railcam","dep03t0203p",-99,1,4,"dep03t02","dep03t02npc","dep03t02gim","dep03t02prcs","","dep03t02ctrl",150,100,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
17300400,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_t3004",1,1,1,"","cam01_railcam","dep03t3004p",-99,1,4,"dep03t30","dep03t30npc","dep03t30gim","dep03t30prcs","","",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18010400,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d0104",3,1,1,"","cam01_railcam","dep03d0104p",-99,1,4,"dep03d01","dep03d01npc","dep03d01gim","dep03d01prcs","","dep03d01ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.01,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18010500,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d0105",3,1,1,"","cam01_railcam","dep03d0105p",-99,1,4,"dep03d01","dep03d01npc","dep03d01gim","dep03d01prcs","","dep03d01ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.01,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18020800,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d0208",3,1,1,"","cam01_railcam","dep03d0208p",-99,1,4,"dep03d02","dep03d02npc","dep03d02gim","dep03d02prcs","","dep03d02ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,30,10,0.02,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18021000,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d0210",3,1,1,"","cam01_railcam","dep03d0210p",-99,1,4,"dep03d02","dep03d02npc","dep03d02gim","dep03d02prcs","","dep03d02ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,30,10,0.02,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18040600,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d0406",3,1,1,"","cam01_railcam","dep03d0406p",-99,1,4,"dep03d04","dep03d04npc","dep03d04gim","dep03d04prcs","","dep03d04ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18040700,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d0407",3,1,1,"","cam01_railcam","dep03d0407p",-99,1,4,"dep03d04","dep03d04npc","dep03d04gim","dep03d04prcs","","dep03d04ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18100100,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d1001",2,1,1,"","cam01_railcam","dep03d1001p",-99,1,4,"dep03d10","dep03d10npc","dep03d10gim","dep03d10prcs","","dep03d10ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18100200,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d5007",1,1,1,"","cam01_railcam","dep03d1002p",-99,1,4,"dep03d10","dep03d10npc","dep03d10gim","dep03d10prcs","","dep03d10ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18100300,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d1003",2,1,1,"","cam01_railcam","dep03d1003p",-99,1,4,"dep03d10","dep03d10npc","dep03d10gim","dep03d10prcs","","dep03d10ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18100500,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d1002",2,1,1,"","cam01_railcam","dep03d1005p",-99,1,4,"dep03d10","dep03d10npc","dep03d10gim","dep03d10prcs","","dep03d10ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
18110300,"DLC003_dbef_10","DLC003_dbef_50","","","","","","","","","","","","","","","bg_d1103",1,1,1,"","cam01_railcam","dep03d1103p",-99,1,4,"dep03d11","dep03d11npc","dep03d11gim","dep03d11prcs","","dep03d11ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.2,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
