int32 0,int32 1,string2 2,string2 3,string2 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int32 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int32 24,float 25,float 26,float 27,float 28,float 29,int32 30,int32 31,float 32,float 33,float 34,float 35,int32 36,float 37,int32 38,float 39,int32 40,int32 41,string2 42,int32 43,string2 44,int32 45,int32 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int32 56,int32 57,int32 58,int32 59,float 60,string2 61,string2 62,string2 63
185006001,1,"DLCEP3_omegamon_01","","","chr357",0,0,"","","bn01","",0,0,"F01",0,0,-2.661,0,2.574,150.122,0,0,1,1,3.5,160,160,2,2,1,1,0,1.8,1,-1,-1,-1,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006002,2,"DLCEP3_omegamon_02","","","chr357",0,0,"","","bn01","",0,0,"F01",0,0,-3.498,0,27.141,150.122,0,0,1,1,4,160,160,2,2,1,1,0,1.8,1,-1,-1,-1,-1,0,2,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006003,2,"DLCEP3_dukux_01","1","","chr358",0,0,"","","bn01","",0,0,"F01",0,0,10,0,0,-30.844,0,0,1,1,3.5,160,160,2,2,1,1,-0.5,1.8,1,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006004,2,"DLCEP3_arufox_01","1","","chr418",0,0,"","","bn01","",0,0,"F01",0,0,-10,-0.001,0,59.928,0,0,1,1,4,160,160,2,2,1,1,0,1.8,1,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006005,2,"DLCEP3_giesx_01","1","","chr468",0,0,"","","bn01","",0,0,"F01",0,0,-10,0,15,129.253,0,0,1,1,4,160,160,2,2,1,1,0,1.8,1,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006006,2,"DLCEP3_magunax_01","1","","chr432",0,0,"","","bn01","",0,0,"F01",0,0,0,0,-10,8.028,0,0,1,1,3.5,160,360,2,2,1,1,0,1.8,1,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006007,2,"DLCEP3_arufa_01","1","","chr416",0,0,"","","bn01","",0,0,"F01",0,0,10,0,15,-112.125,0,0,1,1,5,160,160,2,2,1,1,0,1.8,1.5,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006008,2,"DLCEP3_simons_01","","","npc004aa010101",0,0,"","","fn01_01","",0,0,"F01",0,0,3.972,0,11.897,-124.582,0,0,1,1,2,160,160,2,2,1,2,0,0,0,-1,-1,-1,-1,-1,0,1,"fn01_01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006009,2,"DLCEP3_siroki_01","","","npc057aa010101",0,0,"","","e587","",0,0,"F01",0,0,2.327,0,13.176,-301.011,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,0,0,1,"e587",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
185006010,2,"DLCEP3_kuga_01","","","npc017aa010101",0,0,"","","fd01_02","",0,0,"F03",2,0,3.244,0,13.312,-239.232,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,0,0,1,"fd01_02",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
