int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,string2 6,string2 7,int32 8,int32 9,float 10,float 11,float 12,float 13,float 14,float 15,float 16,int32 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,string2 27,int32 28
18010401,,14,1,-1,13,"","",1,7200,-25.603,19.776,19.68,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18010402,,14,1,-1,12,"","",1,7201,-25.278,33.827,-16.741,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18010403,,14,1,-1,29,"","",1,7202,63.972,51.992,-37.282,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18010501,,14,1,-1,27,"","",1,7205,22.347,4.281,24.385,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18021001,,14,1,-1,3,"","",1,7210,11.192,23.806,61.439,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18021002,,14,1,-1,9,"","",1,7211,-48.262,10.839,0.753,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18021003,,14,1,-1,32081,"","",1,7212,3.122,-5.433,-52.843,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18100201,,14,1,-1,30333,"","",1,7220,-19.668,32.71,-6.341,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18100202,,14,1,-1,33061,"","",1,7221,36.291,20.487,-9.826,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18100203,,14,1,-1,1041,"","",1,7222,-3.155,-1.036,-10.723,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18130101,,14,1,-1,1045,"","",1,7230,-10.358,0,-20.041,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18130102,,14,1,-1,32191,"","",1,7231,-5.935,0,10.344,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18130103,,14,1,-1,20,"","",1,7232,14.877,0,-3.664,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
17010601,,14,1,-1,104,"","",1,7240,-2.468,0,-1.304,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
17010602,,14,1,-1,29,"","",1,7241,-2.598,0,-5.765,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18020801,,14,1,-1,42,"","",1,7250,8.99,4.899,45.943,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18020802,,14,1,-1,46,"","",1,7251,51.891,14.984,-0.499,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18020803,,14,1,-1,27,"","",1,7252,-1.85,38.179,-54.86,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18040701,,14,1,-1,211,"","",1,7260,-1.369,0,17.456,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18040702,,14,1,-1,25,"","",1,7261,5.082,0,-28.095,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18110301,,14,1,-1,27,"","",1,7270,-22.275,2.629,8.424,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18110302,,14,1,-1,29,"","",1,7271,-16.073,0,-58.578,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18110303,,14,1,-1,60,"","",1,7272,12.947,0,52.953,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
18110304,,14,1,-1,91,"","",1,7273,9.963,0,13.441,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
