key,text
"char_OMEGAMON-X","Omnimon (X Antibody)"
"char_OMEGAMON-X_BIG","Omnimon (X Antibody)"
"char_DUKEMON_X","Gallantmon (X Antibody)"
"char_DUKEMON_X_BIG","Gallantmon (X Antibody)"
"char_ULFORCEVDRAMON_X","UlforceVeedramon (X Antibody)"
"char_ULFORCEVDRAMON_X_BIG","UlforceVeedramon (X Antibody)"
"char_MAGNAMON_X","Magnamon (X Antibody)"
"char_MAGNAMON_X_BIG","Magnamon (X Antibody)"
"char_PARALLELMON","Parallelmon"
"char_PARALLELMON_BIG","Parallelmon"
"char_JESMON_X","Jesmon (X Antibody)"
"char_JESMON_X_BIG","Jesmon (X Antibody)"
"char_DORUMON_02","Dorumon"
"char_ALPHAMON_02","Alphamon"
"char_AKASHIC_BACKDOOR","Akashic Backdoor"
"char_AKASHIC_BACKDOOR_nickname","Space-Time Pathway"
