string2 0,empty 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8
"chr714J_head",,0,0,0,0,0,0,1
"chr714J_body2",,0,0,-10,-0.087155744,0,0,0.9961947
"chr182J_head",,0,0,0,0,0,0,1
"chr182J_body2",,0,0,-20,-0.17364818,0,0,0.9848077
"chr715J_head",,0,0,0,0,0,0,1
"chr715J_body2",,0,0,-30,-0.25881904,0,0,0.9659258
"chr713J_head",,0,0,0,0,0,0,1
"chr713J_chest",,0,0,-20,-0.17364818,0,0,0.9848077
"chr712J_haed",,0,0,0,0,0,0,1
"chr712J_neck",,0,0,0,0,0,0,1
"chr712J_spine02",,0,0,-35,-0.3007058,0,0,0.95371693
"chr327J_haed",,0,0,0,0,0,0,1
"chr327J_neck",,0,0,0,0,0,0,1
"chr327J_spine02",,-8,-10,-15,-0.12368509,-0.09527002,-0.057548128,0.9860597
