schema_file,structure_pattern,table,column_index,source_header,type,friendly_header,status,sample_csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,0,int32 0,int32,id,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,1,empty 1,empty,empty_001,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,2,string2 2,string2,char_key,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,3,string2 3,string2,chr_id,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,4,int32 4,int32,stage_id,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,5,int32 5,int32,personality_id,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,6,int32 6,int32,type_id,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,7,int32 7,int32,res_null,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,8,int32 8,int32,res_fire,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,9,int32 9,int32,res_water,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,10,int32 10,int32,res_ice,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,11,int32 11,int32,res_grass,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,12,int32 12,int32,res_wind,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,13,int32 13,int32,res_elec,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,14,int32 14,int32,res_ground,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,15,int32 15,int32,res_steel,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,16,int32 16,int32,res_light,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,17,int32 17,int32,res_dark,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,18,empty 18,empty,empty_018,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,19,bool 19,bool,trait_flag_01,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,20,bool 20,bool,trait_flag_02,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,21,bool 21,bool,trait_flag_03,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,22,bool 22,bool,trait_flag_04,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,23,bool 23,bool,trait_flag_05,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,24,bool 24,bool,trait_flag_06,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,25,bool 25,bool,trait_flag_07,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,26,bool 26,bool,trait_flag_08,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,27,bool 27,bool,trait_flag_09,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,28,bool 28,bool,trait_flag_10,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,29,bool 29,bool,trait_flag_11,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,30,bool 30,bool,trait_flag_12,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,31,bool 31,bool,trait_flag_13,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,32,bool 32,bool,trait_flag_14,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,33,bool 33,bool,trait_flag_15,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,34,bool 34,bool,trait_flag_16,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,35,bool 35,bool,trait_flag_17,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,36,bool 36,bool,trait_flag_18,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,37,bool 37,bool,trait_flag_19,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,38,bool 38,bool,trait_flag_20,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,39,bool 39,bool,trait_flag_21,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,40,bool 40,bool,trait_flag_22,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,41,bool 41,bool,trait_flag_23,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,42,bool 42,bool,trait_flag_24,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,43,bool 43,bool,trait_flag_25,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,44,bool 44,bool,trait_flag_26,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,45,bool 45,bool,trait_flag_27,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,46,bool 46,bool,trait_flag_28,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,47,bool 47,bool,trait_flag_29,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
digimon_status.json,digimon_status(_dlc\d+)?\.mbe,digimon_status_data,48,bool 48,bool,trait_flag_30,named,New Extracted\patch.dx11\data\digimon_status.mbe\000_digimon_status_data.csv
