int32 0,empty 1,string2 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int32 11
1006891,,"J_head",55,55,20,70,100,0,0,0,0
1008701,,"J_head",55,55,20,70,100,0,0,0,0
1006901,,"J_head",55,55,20,40,100,0,0,0,0
1008711,,"J_head",55,55,20,40,100,0,0,0,0
1006911,,"J_head",55,55,10,40,100,0,0,0,0
1008601,,"J_head",55,55,10,40,100,0,0,0,0
1006921,,"J_head",65,65,10,40,100,0,0,0,0
1008621,,"J_head",65,65,10,40,100,0,0,0,0
1006931,,"J_head",55,55,10,40,100,0,0,0,0
1008611,,"J_head",55,55,10,40,100,0,0,0,0
