animation_key,empty_001,empty_002,loop_start_frame,loop_end_frame,motion_set
"npc002a_fs01_02",,,50,140,"fs01_01"
"npc004a_e576",,,95,155,""
"npc005a_e570",,,60,140,""
"npc005a_e575",,,120,180,""
"npc005a_e577",,,70,136,""
"npc006a_e571",,,85,135,""
"npc006a_e572",,,106,180,""
"npc008a_e002",,,106,202,"fn01_01"
"npc008a_e006",,,20,100,"fn01_01"
"npc008a_e012",,,50,130,"fn01_01"
"npc008a_e013",,,50,130,"fn01_01"
"npc008a_e018",,,40,100,"fn01_01"
"npc008a_e021",,,46,124,"fn01_01"
"npc008a_e578",,,44,100,""
"npc008a_e579",,,36,104,""
"npc008a_e581",,,70,150,""
"chr689_e002_01",,,60,120,"fn01_01"
"chr689_e594",,,20,80,"bn01"
"chr690_e002",,,60,120,"bn01"
"chr690_e002_01",,,60,120,"fn01_01"
"chr690_e594",,,20,80,"bn01"
"chr692_e500",,,50,100,"bn01"
"chr693_e500",,,64,124,"bn02"
"chr693_e595",,,45,105,""
