encounter_group_id,empty_001,primary_enemy_id,empty_003,empty_004,empty_005,enemy_slot_01_rate,enemy_slot_01_type,enemy_slot_01_param_a,enemy_slot_01_param_b,enemy_slot_01_param_c,enemy_slot_01_param_d,enemy_slot_01_param_e,enemy_slot_01_count,enemy_slot_01_enemy_id,empty_015,empty_016,empty_017,enemy_slot_02_rate,enemy_slot_02_type,enemy_slot_02_param_a,enemy_slot_02_param_b,enemy_slot_02_param_c,enemy_slot_02_param_d,enemy_slot_02_param_e,enemy_slot_02_count,enemy_slot_02_enemy_id,empty_027,empty_028,empty_029,enemy_slot_03_rate,enemy_slot_03_type,enemy_slot_03_param_a,enemy_slot_03_param_b,enemy_slot_03_param_c,enemy_slot_03_param_d,enemy_slot_03_param_e,enemy_slot_03_count,enemy_slot_03_enemy_id,empty_039,empty_040,empty_041,enemy_slot_04_rate,enemy_slot_04_type,enemy_slot_04_param_a,enemy_slot_04_param_b,enemy_slot_04_param_c,enemy_slot_04_param_d,enemy_slot_04_param_e,enemy_slot_04_count,enemy_slot_04_enemy_id,empty_051,empty_052,empty_053,enemy_slot_05_rate,enemy_slot_05_type,enemy_slot_05_param_a,enemy_slot_05_param_b,enemy_slot_05_param_c,enemy_slot_05_param_d,enemy_slot_05_param_e,enemy_slot_05_count,enemy_slot_05_enemy_id,empty_063,empty_064,empty_065,enemy_slot_06_rate,enemy_slot_06_type,enemy_slot_06_param_a,enemy_slot_06_param_b,enemy_slot_06_param_c,enemy_slot_06_param_d,enemy_slot_06_param_e,enemy_slot_06_count,enemy_slot_06_enemy_id,battle_event_key,unk_int32_076,empty_077,unk_int32_078,empty_079,unk_int32_080,empty_081,unknown_bool_082,unknown_bool_083,unknown_bool_084,unk_int32_085
6000101,,86101,,,,100,2,65,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,49,"battle_6000101",-1,,1,,803,,false,false,true,1
6000104,,9203,,,,100,2,60,100,100,0,0,1,14702,,,,100,2,65,100,100,0,0,1,9203,,,,100,2,60,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,57,"battle_6000104",-1,,1,,807,,false,false,false,1
6000105,,16202,,,,100,2,65,100,100,0,0,1,-1,,,,75,2,14,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,61,"battle_6000105",-1,,1,,1501,,false,false,false,1
6000106,,60202,,,,100,2,55,100,100,0,0,1,60202,,,,100,2,55,100,100,0,0,1,60202,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,57,"battle_6000106",-1,,1,,807,,false,false,true,1
6000107,,84801,,,,100,2,65,100,100,0,0,1,-1,,,,75,2,14,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,59,"battle_6000107",-1,,1,,807,,false,false,false,1
6000108,,84701,,,,100,2,65,100,100,0,0,1,-1,,,,75,2,14,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,60,"battle_6000108",-1,,1,,807,,false,false,false,1
6000109,,83901,,,,100,2,70,100,100,0,0,1,-1,,,,75,2,14,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,51,"battle_6000109",-1,,1001,,807,,false,false,true,1
6000110,,14702,,,,100,2,65,100,100,0,0,1,9203,,,,100,2,60,100,100,0,0,1,9203,,,,100,2,60,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,57,"battle_6000104",-1,,1,,807,,false,false,false,1
6000111,,61704,,,,100,2,60,100,100,0,0,1,61602,,,,100,2,60,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1502,,false,false,false,1
6000112,,49102,,,,100,2,55,100,100,0,0,1,7402,,,,100,2,55,100,100,0,0,1,402,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1502,,false,false,false,1
