int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
105003001,"",1,"DLCEP1_bubble_01","",false,"d50soapbubbles00",1,0,"","","","","",0,0,-0.004,3.668,46.038,0,0,0,3,1,"",0,0,0,0,0,7,160,360,2,10,2,1,0,-1.5,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003002,"",1,"DLCEP1_bubble_02","",false,"d50soapbubbles03",1,0,"","","","","",0,0,0,0,0,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003003,"",-1,"DLCEP1_door_01","",false,"d50door00",1,0,"","","","","",0,0,0,0,-30.06,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003004,"",-1,"DLCEP1_door_02","",false,"d50door00",1,0,"","","","","",0,0,-15.03,0,-26.033,30,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003005,"",-1,"DLCEP1_door_03","",false,"d50door00",1,0,"","","","","",0,0,-26.033,0,-15.03,60,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003006,"",-1,"DLCEP1_door_04","",false,"d50door00",1,0,"","","","","",0,0,-30.06,0,0,90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003007,"",-1,"DLCEP1_door_05","",false,"d50door00",1,0,"","","","","",0,0,-26.033,0,15.03,120,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003008,"",-1,"DLCEP1_door_06","",false,"d50door00",1,0,"","","","","",0,0,-15.03,0,26.033,150,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003009,"",-1,"DLCEP1_door_07","",false,"d50door00",1,0,"","","","","",0,0,0,0,30.06,180,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003010,"",-1,"DLCEP1_door_08","",false,"d50door00",1,0,"","","","","",0,0,15.03,0,26.033,210,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003011,"",-1,"DLCEP1_door_09","",false,"d50door00",1,0,"","","","","",0,0,26.033,0,15.03,240,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003012,"",-1,"DLCEP1_door_10","",false,"d50door00",1,0,"","","","","",0,0,30.06,0,0,270,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003013,"",-1,"DLCEP1_door_11","",false,"d50door00",1,0,"","","","","",0,0,26.033,0,-15.03,300,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003014,"",-1,"DLCEP1_door_12","",false,"d50door00",1,0,"","","","","",0,0,15.03,0,-26.033,330,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003015,"",-1,"DLCEP1_doorwall_01","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003016,"",-1,"DLCEP1_doorwall_02","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,30,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003017,"",-1,"DLCEP1_doorwall_03","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,60,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003018,"",-1,"DLCEP1_doorwall_04","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003019,"",-1,"DLCEP1_doorwall_05","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,120,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003020,"",-1,"DLCEP1_doorwall_06","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,150,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003021,"",-1,"DLCEP1_doorwall_07","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,180,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003022,"",-1,"DLCEP1_doorwall_08","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,210,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003023,"",-1,"DLCEP1_doorwall_09","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,240,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003024,"",-1,"DLCEP1_doorwall_10","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,270,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003025,"",-1,"DLCEP1_doorwall_11","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,300,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003026,"",-1,"DLCEP1_doorwall_12","",false,"d50wall00",1,0,"","","","","",0,0,0,0,0,330,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003027,"",-1,"DLCEP1_doorwall_101","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003028,"",-1,"DLCEP1_doorwall_102","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,30,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003029,"",-1,"DLCEP1_doorwall_103","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,60,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003030,"",-1,"DLCEP1_doorwall_104","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003031,"",-1,"DLCEP1_doorwall_105","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,120,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003032,"",-1,"DLCEP1_doorwall_106","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,150,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003033,"",-1,"DLCEP1_doorwall_107","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,180,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003034,"",-1,"DLCEP1_doorwall_108","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,210,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003035,"",-1,"DLCEP1_doorwall_109","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,240,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003036,"",-1,"DLCEP1_doorwall_110","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,270,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003037,"",-1,"DLCEP1_doorwall_111","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,300,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003038,"",-1,"DLCEP1_doorwall_112","",false,"d50wall01",1,0,"","","","","",0,0,0,0,0,330,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003039,"",-1,"DLCEP1_doorcol_01","",false,"f00iconobj00",1,0,"","","","","",0,0,0,0,-30.06,0,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003040,"",-1,"DLCEP1_doorcol_02","",false,"f00iconobj00",1,0,"","","","","",0,0,-15.03,0,-26.033,30,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003041,"",-1,"DLCEP1_doorcol_03","",false,"f00iconobj00",1,0,"","","","","",0,0,-26.033,0,-15.03,60,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003042,"",-1,"DLCEP1_doorcol_04","",false,"f00iconobj00",1,0,"","","","","",0,0,-30.06,0,0,90,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003043,"",-1,"DLCEP1_doorcol_05","",false,"f00iconobj00",1,0,"","","","","",0,0,-26.033,0,15.03,120,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003044,"",-1,"DLCEP1_doorcol_06","",false,"f00iconobj00",1,0,"","","","","",0,0,-15.03,0,26.033,150,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003045,"",-1,"DLCEP1_doorcol_07","",false,"f00iconobj00",1,0,"","","","","",0,0,0,0,30.06,180,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003046,"",-1,"DLCEP1_doorcol_08","",false,"f00iconobj00",1,0,"","","","","",0,0,15.03,0,26.033,210,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003047,"",-1,"DLCEP1_doorcol_09","",false,"f00iconobj00",1,0,"","","","","",0,0,26.033,0,15.03,240,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003048,"",-1,"DLCEP1_doorcol_10","",false,"f00iconobj00",1,0,"","","","","",0,0,30.06,0,0,270,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
105003049,"",-1,"DLCEP1_doorcol_11","",false,"f00iconobj00",1,0,"","","","","",0,0,26.033,0,-15.03,300,0,0,1,1,"wall_cl",3,4,1,1,0,2,160,360,1,1,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
