int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
90102001,"",2,"DLCEP1_door_01","",false,"d50wooddoor00",1,0,"","","","","",0,0,-11.478,0.153,-69.717,218.391,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102002,"",2,"DLCEP1_door_01_white","",false,"d50whiteexit00",1,0,"","","","","",0,0,-11.478,0.171,-69.717,38.391,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102003,"",2,"DLCEP1_doorcol_01","",false,"f00iconobj00",1,0,"","","","","",0,0,-11.478,0.68,-69.717,38.391,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102004,"",-1,"DLCEP1_door_01_out","",false,"f00iconobj00",1,0,"","","","","",0,0,-12.483,0.197,-70.867,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102005,"",-1,"DLCEP1_door_01_start","",false,"f00iconobj00",1,0,"","","","","",0,0,-11.176,0.14,-69.304,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102006,"",1,"DLCEP1_backdoorkey_01","",false,"f00iconobj00",1,0,"","","","","",0,0,2.206,0,-51.416,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,1.8,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102100,"",-1,"","",false,"f00ambulance00",1,0,"","","","","",0,0,-53.499,0,-43.011,2.523,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102101,"",-1,"","",false,"f00bus01",1,0,"","","","","",0,0,-69.891,0,-23.697,-116.577,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102102,"",-1,"","",false,"f00car00",1,0,"","","","","",0,0,-63.657,0,-51.243,-70.414,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102103,"",-1,"","",false,"f00car01",1,0,"","","","","",0,0,16.136,-0.07,16.727,-143.751,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102104,"",-1,"","",false,"f00car02",1,0,"","","","","",0,0,-31.461,0,-53.732,-30,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
90102105,"",-1,"","",false,"f00car03",1,0,"","","","","",0,0,-69.905,0,-45.377,-39.494,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
