int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
180204001,-1,"","npc105ha010101",0,0,0,"","","e548","",0,0,"F01",0,0,11.781,-0.001,-45.411,94.082,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204002,-1,"","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,7.472,-0.001,-61.074,320.43,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204003,-1,"","mob030010101",0,0,0,"","","fn13","",0,0,"F01",0,0,10.056,0,-51.346,177.64,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204004,-1,"","npc105ha010101",0,0,0,"","","e539","",0,0,"F01",0,0,6.424,0,-62.599,176.722,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204005,-1,"","mob030010101",0,0,0,"","","fn07","",0,0,"F01",0,0,8.429,0,-52.7,152.449,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204006,-1,"","npc105ha010101",0,0,0,"","","e541","",0,0,"F01",0,0,-2.83,0,-41.447,250.037,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204007,-1,"","mob030010101",0,0,0,"","","fn12","",0,0,"F01",0,0,-2.472,0,-44.93,292.501,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204008,-1,"","mob030010101",0,0,0,"","","fn13","",0,0,"F01",0,0,-11.607,0,-64.977,336.285,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204009,-1,"","mob030010101",0,0,0,"","","fn13","",0,0,"F01",0,0,-3.273,0,-63.401,231.398,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
180204010,-1,"Mob_005","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,5.291,0,-41.325,6.806,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204011,-1,"Mob_006","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,2.288,0,-41.38,6.806,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204012,-1,"Mob_007","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,3.287,0,-41.363,6.806,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204013,-1,"Mob_008","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,4.292,0,-41.342,6.806,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204014,-1,"Mob_010","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,6.406,0,-41.325,6.806,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"1","","","","",""
180204015,-1,"","npc105ha010101",0,0,0,"","","e547","",0,0,"F01",0,0,-2.273,-0.001,-32.42,0.204,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"2","","","","",""
180204016,-1,"","npc105ha010101",0,0,0,"","","e547","",0,0,"F01",0,0,4.586,0,-32.494,0.204,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"2","","","","",""
