string2 0,float 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10
"chr689",20,65,500,0,0,0,0,0,0,0
"chr690",20,65,500,0,0,0,0,0,0,0
"chr691",20,65,500,0,0,0,0,0,0,0
"chr692",20,65,500,0,0,0,0,0,0,0
"chr693",20,65,500,0,0,0,0,0,0,0
"chr848",0,0,0,0,0,0,0,0,0,0
"chr849",0,0,0,0,0,0,0,0,0,0
"chr860",0,0,0,0,0,0,0,0,0,0
"chr861",0,0,0,0,0,0,0,0,0,0
"chr862",0,0,0,0,0,0,0,0,0,0
"chr868",0,0,0,0,0,0,0,0,0,0
"chr869",0,0,0,0,0,0,0,0,0,0
"chr870",0,0,0,0,0,0,0,0,0,0
"chr871",0,0,0,0,0,0,0,0,0,0
"chr872",0,0,0,0,0,0,0,0,0,0
"npc005b",20,40,500,0,0,0,0,0,0,0
