string2 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10
"chr689","","chr689_LOD_2","","","","","","","",""
"chr690","","chr690_LOD_2","","","","","","","",""
"chr691","","chr691_LOD_2","","","","","","","",""
"chr692","","chr692_LOD_2","","","","","","","",""
"chr693","","chr693_LOD_2","","","","","","","",""
"chr848","","","","","","","","","",""
"chr849","","","","","","","","","",""
"chr860","","","","","","","","","",""
"chr861","","","","","","","","","",""
"chr862","","","","","","","","","",""
"chr868","","","","","","","","","",""
"chr869","","","","","","","","","",""
"chr870","","","","","","","","","",""
"chr871","","","","","","","","","",""
"chr872","","","","","","","","","",""
"npc005b","","npc005b_LOD_2","","","","","","","",""
