motion_key,motion_name
"chr689_ba01","ba01"
"chr689_ba02","ba02"
"chr689_d130_010_c02","d130_010_c02"
"chr689_d130_010_c03","d130_010_c03"
"chr689_d130_010_c06","d130_010_c06"
"chr689_d130_010_c09","d130_010_c09"
"chr689_d130_010_c11","d130_010_c11"
"chr689_d130_010_c13","d130_010_c13"
"chr689_d130_010_c25","d130_010_c25"
"chr689_d140_026_c01","d140_026_c01"
"chr689_d140_026_c02","d140_026_c02"
"chr689_d140_026_c03","d140_026_c03"
"chr689_d140_026_c05","d140_026_c05"
"chr690_ba01","ba01"
"chr690_ba02","ba02"
"chr690_d130_010_c02","d130_010_c02"
"chr690_d130_010_c03","d130_010_c03"
"chr690_d130_010_c06","d130_010_c06"
"chr690_d130_010_c09","d130_010_c09"
"chr690_d130_010_c11","d130_010_c11"
"chr690_d130_010_c13","d130_010_c13"
"chr690_d130_010_c25","d130_010_c25"
"chr690_d140_026_c02","d140_026_c02"
"chr690_d140_026_c04","d140_026_c04"
"chr690_d140_026_c05","d140_026_c05"
"chr691_ba01","ba01"
"chr691_ba02","ba02"
"chr691_d140_026_c06","d140_026_c06"
"chr691_d140_026_c07","d140_026_c07"
"chr691_d140_026_c08","d140_026_c08"
"chr691_d140_026_c09","d140_026_c09"
"chr691_d140_026_c11","d140_026_c11"
"chr691_d140_026_c12","d140_026_c12"
"chr691_d140_026_c13","d140_026_c13"
"chr692_d130_010_c01","d130_010_c01"
"chr692_d130_010_c04","d130_010_c04"
"chr692_d130_010_c08","d130_010_c08"
"chr692_d130_010_c14","d130_010_c14"
"chr692_d130_010_c22","d130_010_c22"
"chr692_d130_010_c24","d130_010_c24"
"chr692_d130_010_c25","d130_010_c25"
"chr692_d130_010_c27","d130_010_c27"
"chr693_d140_026_c10","d140_026_c10"
"chr693_d140_026_c11","d140_026_c11"
