string2 0,string2 1,empty 2,string2 3,empty 4,string2 5,string2 6,string2 7,float 8,string2 9,string2 10,string2 11,bool 12,bool 13,bool 14,bool 15
"npc005ba010101","npc005b",,"npch005a",,"01","01","01",1,"","","",false,true,true,false
"mob001030101","mob001",,"",,"03","01","01",1,"","","",false,true,true,false
"mob021030101","mob021",,"",,"03","01","01",1,"","","",false,true,true,false
"mob007030101","mob007",,"",,"03","01","01",1,"","","",false,true,true,false
"mob027030101","mob027",,"",,"03","01","01",1,"","","",false,true,true,false
"mob008030101","mob008",,"",,"03","01","01",1,"","","",false,true,true,false
"mob028030101","mob028",,"",,"03","01","01",1,"","","",false,true,true,false
"mob051030101","mob051",,"",,"03","01","01",1,"","","",false,true,true,false
"mob091030101","mob091",,"",,"03","01","01",1,"","","",false,true,true,false
"mob012030101","mob012",,"",,"03","01","01",1,"","","",false,true,true,false
"mob032030101","mob032",,"",,"03","01","01",1,"","","",false,true,true,false
"mob013030101","mob013",,"",,"03","01","01",1,"","","",false,true,true,false
"mob033030101","mob033",,"",,"03","01","01",1,"","","",false,true,true,false
"mob015030101","mob015",,"",,"03","01","01",1,"","","",false,true,true,false
"mob075030101","mob075",,"",,"03","01","01",1,"","","",false,true,true,false
