key,text
"char_GODDRAMON_BIG","Goldramon"
"char_MIRAGEGAOGAMON_BIG","MirageGaogamon"
"char_PARALLELMON","Parallelmon"
"char_PARALLELMON_BIG","Parallelmon"
"char_BLITZGREYMON","BlitzGreymon"
"char_BLITZGREYMON_BIG","BlitzGreymon"
"char_CRESGARURUMON","CresGarurumon"
"char_CRESGARURUMON_BIG","CresGarurumon"
"char_OMEGAMON_ALTER-S","Omnimon Alter-S"
"char_OMEGAMON_ALTER-S_BIG","Omnimon Alter-S"
"char_OMEGAMONZWART_D","Omnimon Zwart Defeat"
"char_OMEGAMONZWART_D_BIG","Omnimon Zwart Defeat"
"char_OMEGAMON_ALTER-B","Omnimon Alter-B"
"char_OMEGAMON_ALTER-B_BIG","Omnimon Alter-B"
"char_BLITZGREYMON&CRESGARURUMON","BlitzGreymon & CresGarurumon"
"char_KUREMIKYOKO","Kyoko Kuremi"
"char_KUREMI_8YEARSLATER","Kodai Kuremi"
"char_KUREMIKYOKO_nickname","Girl Who Wandered In"
"char_AKASHIC_BACKDOOR","Akashic Backdoor"
"char_AKASHIC_BACKDOOR_nickname","Space-Time Pathway"
