key,text
"100101","Higashi-Shinjuku: Vision Square"
"100102","Higashi-Shinjuku: Koshu-Kaido Intersection"
"100103","Shinjuku: Kabukicho, Theater Square"
"100107","Wall of Hope"
"100110","Shinjuku Station: East Gate"
"100301","Tokyo Metropolitan Government Building: Exterior"
"100302","Shinjuku Park: Waterfall Plaza"
"100402","Misono Detective Agency"
"103004","Elevator Hall"
"111002","Giant Pit"
"111202","Shinjuku Underground Waterway: Lower Level"
"111204","Rebellion Village"
"111303","Special Forces Underground Base: Laboratory"
"111304","Special Forces Underground Base: Gantry"
"111401","Tokyo Metropolitan Government Building: Entrance"
"111403","Tokyo Metropolitan Government Building: 36F North Tower"
"111407","Tokyo Metropolitan Government Building: Roof"
"115001","White Room"
"115002","White Room"
"115003","Circular Hallway"
