string2 0,string 1
"24491","Absorbent Bang"
"24492","Endless Trance"
"26891","Plasma Stake"
"26892","Elec Guard"
"26901","Beast Cyclone"
"26902","Fury: Ice Moon Fang"
"26911","Supreme Sword"
"26912","Transcendent Cannon"
"26921","Transcendent Sword"
"26922","Supreme Cannon"
"26931","Supreme Sword"
"26932","Transcendent Cannon"
"27443","I Give You My Guidance!"
"27444","Amazing Enemy!"
"27543","Let's Be Fully Prepared!"
"27544","Let's Take Action!"
"28471",""
"51000","Digimon from Another Dimension!"
