int32 0,empty 1,string2 2,string2 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,empty 18,bool 19,bool 20,bool 21,bool 22,bool 23,bool 24,bool 25,bool 26,bool 27,bool 28,bool 29,bool 30,bool 31,bool 32,bool 33,bool 34,bool 35,bool 36,bool 37,bool 38,bool 39,bool 40,bool 41,bool 42,bool 43,bool 44,bool 45,bool 46,bool 47,bool 48,bool 49,bool 50,int32 51,bool 52,bool 53,bool 54,bool 55,bool 56,bool 57,bool 58,bool 59,bool 60,int32 61,int32 62,int32 63,int32 64,int32 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,int32 72,empty 73,int32 74,int32 75,empty 76,int32 77,int32 78,empty 79,int32 80,int32 81,empty 82,int32 83,int32 84,empty 85,int32 86,int32 87,empty 88,int32 89,int32 90,empty 91,int32 92,int32 93,empty 94,int32 95,int32 96,empty 97,int32 98,int32 99,empty 100,int32 101,int32 102,empty 103,int32 104,int32 105,empty 106,int32 107,int32 108,empty 109,int32 110,int32 111,empty 112,int32 113,int32 114,empty 115,int32 116,int32 117,empty 118,int32 119,int32 120,int32 121,int32 122,float 123,bool 124,bool 125,int32 126,empty 127,int32 128,int32 129,int32 130,int32 131,int32 132,int32 133,int32 134,int32 135
448,,"char_OMEGAMON:MERCIFUL MODE","chr448",7,0,0,0,0,0,0,1,3,1,3,0,0,0,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,4,1,99,2156,792,1430,1070,1165,940,970,1,24481,,1,24482,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32071,,2,30123,,25,30253,,40,31032,,60,3,2,3,0,true,false,24481,,37,77,26,462,448,-1,0,-1
485,,"char_BANCHOSTINGMON","chr485",6,0,3,0,3,1,1,0,0,3,0,0,0,0,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,2,1,99,1631,864,1235,560,730,565,1045,7,24851,,1,24852,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32111,,2,30253,,25,34021,,40,30313,,60,2,2,3,0,true,false,24851,,238,236,203,461,485,-1,0,-1
486,,"char_BANCHOLILIMON","chr486",6,0,1,0,1,0,0,3,0,0,3,1,0,0,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,false,false,false,false,false,false,false,false,false,3,1,99,1190,864,615,630,1590,1045,835,4,24861,,1,24862,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30273,,2,30093,,25,30263,,40,31022,,60,2,3,4,0,true,false,24861,,0,127,137,459,486,-1,0,-1
487,,"char_BANCHOGOLEMON","chr487",6,0,2,0,0,0,0,1,1,0,3,3,0,0,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,3,1,99,2394,608,1130,1130,570,865,605,13,24871,,1,24872,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30223,,2,34091,,25,32071,,40,34081,,60,2,2,3,0,true,false,24871,,80,135,179,460,487,-1,0,-1
488,,"char_BANCHOMAMEMON","chr488",6,0,1,3,0,0,1,0,0,1,0,3,0,0,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,4,1,99,1197,768,1130,830,790,765,715,1,24881,,1,24882,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30313,,2,34051,,25,32121,,40,30186,,60,2,2,3,0,true,false,24871,,80,135,179,458,488,-1,0,-1
838,,"char_PARALLELMON_SMALL","chr873",6,1,2,3,0,0,0,0,0,0,0,0,1,0,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,true,4,1,99,2373,600,1120,645,700,625,735,1,24491,,1,24492,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32071,,2,30183,,25,30283,,40,34071,,60,3,2,6,0,true,false,24491,,37,77,26,-1,838,-1,0,-1
856,,"char_BANCHOGOLEMON_BIG","chr853",6,1,2,0,0,0,0,1,1,0,3,3,0,0,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,3,1,99,2394,608,1130,1130,570,865,605,13,24871,,1,24872,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30223,,2,34091,,25,32071,,40,34081,,60,2,2,3,0,true,false,24871,,80,135,179,-1,856,-1,0,-1
857,,"char_BANCHOSTINGMON_BIG","chr852",6,1,3,0,3,1,1,0,0,3,0,0,0,0,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,2,1,99,1631,864,1235,560,730,565,1045,7,24851,,1,24852,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32111,,2,30253,,25,34021,,40,30313,,60,2,2,3,0,true,false,24851,,238,236,203,-1,857,-1,0,-1
858,,"char_BANCHOLEOMON_BIG","chr851",6,1,0,0,3,0,1,0,1,0,3,0,0,0,,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,3,1,99,1917,488,1120,1120,445,760,765,13,20491,,1,20492,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34021,,2,30163,,25,32111,,40,34081,,60,3,2,3,0,true,false,20491,,206,155,79,-1,858,-1,0,-1
862,,"char_OMEGAMON_BEMERCIFUL","chr847",7,1,0,0,3,0,3,0,1,0,1,3,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,2156,792,1430,1070,1165,940,970,1,20881,,1,20882,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34031,,2,32091,,30,32111,,50,31061,,70,4,2,3,0,true,false,20881,,206,214,227,-1,862,-1,0,-1
