string3 0,string3 1,string3 2,string3 3,float 4,float 5,float 6,float 7,float 8,int32 9,float 10,float 11,float 12,float 13,int32 14
"chr910","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr910symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr910walk","bn01","br01","",2.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr910slow_walk","bn01","br01","",1.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr910brisk_walk","bn01","br01","",3.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr910run","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr873","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr873symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr873walk","bn01","br01","",2.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr873slow_walk","bn01","br01","",1.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr873brisk_walk","bn01","br01","",3.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr873run","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr449run","bn01","br01","",4.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
