int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
14500501,6000202,0,1,"",0,0,"chaser01","","","","","",23.806,0,12.136,-38.359,1,1,1.5,2,2.5,1,"run","bn01","",0,0,"ba01",6,1,"",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",true,true,false,false,true,true,false,0,0,1,4.5,3,"rail_move_100",0,3,0,9,30,4,"",0,3,0,-1,"",0,0,0,-1,"","",""
14500502,6000202,0,1,"",0,0,"chaser02","","","","","",-23.991,0,12.577,21.346,1,1,1.5,2,2.5,1,"run","bn01","",0,0,"ba01",6,1,"",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",true,true,false,false,true,true,false,0,0,1,4.5,3,"rail_move_101",0,3,0,9,30,4,"",0,3,0,-1,"",0,0,0,-1,"","",""
14500503,6000208,0,2,"",0,0,"enemy_a1_01","tag_minienemy","","","","",31.808,0,39.198,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500504,6000208,0,2,"",0,0,"enemy_a1_02","tag_minienemy","","","","",24.466,0,31.586,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500505,6000208,0,2,"",0,0,"enemy_a1_03","tag_minienemy","","","","",31.737,0,25.349,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500506,6000208,0,2,"",0,0,"enemy_a1_04","tag_minienemy","","","","",38.684,-0.001,31.768,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500507,6000208,0,2,"",0,0,"enemy_a1_05","tag_minienemy","","","","",31.391,0,32.664,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500508,6000208,0,3,"",0,0,"enemy_b1_01","tag_minienemy","","","","",-31.974,0,24.774,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500509,6000208,0,3,"",0,0,"enemy_b1_02","tag_minienemy","","","","",-30.552,0,30.958,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500510,6000208,0,3,"",0,0,"enemy_b1_03","tag_minienemy","","","","",-24.288,-0.001,30.913,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500511,6000208,0,3,"",0,0,"enemy_b1_04","tag_minienemy","","","","",-38.392,0,31.486,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500512,6000208,0,3,"",0,0,"enemy_b1_05","tag_minienemy","","","","",-32.006,-0.001,39.123,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500513,6000208,0,4,"",0,0,"enemy_c1_01","tag_minienemy","","","","",-24.358,0,-31.545,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500514,6000208,0,4,"",0,0,"enemy_c1_02","tag_minienemy","","","","",-31.509,0,-25.405,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500515,6000208,0,4,"",0,0,"enemy_c1_03","tag_minienemy","","","","",-32.203,-0.001,-38.509,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500516,6000208,0,4,"",0,0,"enemy_c1_04","tag_minienemy","","","","",-31.324,0,-31.569,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500517,6000208,0,4,"",0,0,"enemy_c1_05","tag_minienemy","","","","",-37.989,0,-30.962,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
