int32 0,string3 1,string3 2,float 3,int32 4,int32 5,int32 6,int32 7,int32 8
130101,"t0101_railmove","",180,10,2,15,0,0
130102,"t0102_railmove","",180,10,2,15,0,0
130103,"t0103_railmove","",180,10,2,15,0,0
130105,"t0105_railmove","",180,10,2,0,0,0
130107,"t0107_railmove","",180,10,2,0,0,0
130108,"t0108_railmove","",180,10,2,0,0,0
130201,"t0201_railmove","",180,10,2,16,0,0
130304,"","",180,10,2,17,0,0
133004,"","",180,10,2,19,0,0
141301,"","",180,10,2,13,0,0
141302,"","",180,10,2,13,0,0
141304,"","",180,10,2,13,0,0
141407,"","",180,10,2,14,0,0
145001,"","",180,10,1,0,0,0
145004,"d5004_railmove","d5004_railmove",180,10,1,0,0,0
145005,"dep02d5005_railmove","dep02d5005_railmove",180,10,1,0,0,0
