int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string3 17,int32 18,int32 19,int32 20,string2 21,string2 22,string2 23,int32 24,int32 25,float 26,string3 27,string3 28,string3 29,string3 30,string3 31,string3 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,bool 45,bool 46,int32 47,int32 48,string2 49,float 50,int32 51,float 52,float 53,float 54,float 55,int32 56,float 57,float 58,float 59,float 60,bool 61,bool 62
13010100,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0101",1,3,1,"","cam01_railcam","dep02t0101p",-99,1,4,"dep02t01","dep02t01npc","dep02t01gim","dep02t01prcs","","dep02t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13010200,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0102",1,1,1,"","cam01_railcam","dep02t0102p",-99,1,4,"dep02t01","dep02t01npc","dep02t01gim","dep02t01prcs","","dep02t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13010300,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0103",1,1,1,"","cam01_railcam","dep02t0103p",-99,1,4,"dep02t01","dep02t01npc","dep02t01gim","dep02t01prcs","","dep02t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13010500,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0105",1,1,1,"","cam01_railcam","dep02t0105p",-99,1,4,"dep02t01","dep02t01npc","dep02t01gim","dep02t01prcs","","dep02t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13010700,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0107",2,1,1,"","cam01_railcam","dep02t0107p",-99,1,4,"dep02t01","dep02t01npc","dep02t01gim","dep02t01prcs","","dep02t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13010800,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0108",1,1,1,"","cam01_railcam","dep02t0108p",-99,1,4,"dep02t01","dep02t01npc","dep02t01gim","dep02t01prcs","","dep02t01ctrl",35,45,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13020100,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0201",1,1,1,"","t0201_railcam","dep02t0201p",-99,1,4,"dep02t02","dep02t02npc","dep02t02gim","dep02t02prcs","","dep02t02ctrl",25,100,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,true,true
13030400,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t0304",2,1,1,"","cam01_railcam","dep02t0304p",-99,1,4,"dep02t03","dep02t03npc","dep02t03gim","dep02t03prcs","","dep02t03ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
13300400,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_t3004",1,3,1,"","cam01_railcam","dep02t3004p",-99,1,4,"dep02t30","dep02t30npc","dep02t30gim","dep02t30prcs","","",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
14130100,"DLC002_dbef_10","DLC002_dbef_50","","","","","","","","","","","","","","","bg_d1301",2,1,1,"","cam01_railcam","dep02d1301p",-99,1,4,"dep02d13","dep02d13npc","dep02d13gim","dep02d13prcs","","dep02d13ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
