string2 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,int32 9
"FLAG_DLC_EP02_002",29302,3200,0,"t",3001,0,"start_00","P2028_daft_440",1
"FLAG_DLC_EP02_003",29303,3200,0,"t",3001,0,"start_00","DLC002_dbef_10",1
"FLAG_DLC_EP02_004",29304,3200,0,"t",3001,0,"start_00","DLC002_dbef_10",1
"FLAG_DLC_EP02_005",29305,3200,0,"t",3001,0,"start_00","DLC002_dbef_10",1
"FLAG_DLC_EP02_006",29306,3200,0,"t",3001,0,"start_00","DLC002_dbef_10",1
"FLAG_DLC_EP02_007",29307,3200,0,"t",3001,0,"start_00","DLC002_dbef_10",1
"FLAG_DLC_EP02_008",29308,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_009",29309,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_010",29310,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_011",29311,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_012",29312,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_013",29313,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_014",29314,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_015",29315,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_016",29316,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_017",29317,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_018",29318,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_019",29319,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_020",29320,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_021",29321,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_022",29322,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_023",29323,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_024",29324,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_025",29325,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_026",29326,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_027",29327,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_028",29328,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_029",29329,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_030",29330,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_031",29331,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_032",29332,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_033",29333,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_034",29334,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_035",29335,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
