int32 0,int32 1,int32 2,empty 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,empty 37,int32 38,int32 39,int32 40,int32 41,int32 42,empty 43,int32 44,int32 45,int32 46,int32 47,int32 48,empty 49,int32 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59,int32 60,empty 61,int32 62,int32 63,int32 64,int32 65,int32 66,empty 67,int32 68,int32 69,int32 70,int32 71
2049100,20491,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,20491,,20,0,0,0,20492,,20,0,0,0,30163,,30,0,0,0,32111,,10,0,0,0,30182,,0,0,0,0,34011,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2049101,20491,1,,-1,0,1,2,0,1,50,0,10011,,0,0,0,0,20491,,0,0,0,0,20492,,0,0,0,0,30163,,0,0,0,0,32111,,0,0,0,0,30182,,0,0,0,0,34011,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2088500,20885,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,28621,,20,0,0,0,28622,,20,0,0,0,30253,,10,0,0,0,30313,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2448100,24481,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,24481,,20,0,0,0,24482,,20,0,0,0,30123,,20,0,0,0,30253,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2485100,24851,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,24851,,20,0,0,0,32111,,20,0,0,0,30253,,20,0,0,0,34021,,10,0,0,0,30313,,20,0,0,0,24852,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2486100,24861,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,24861,,20,0,0,0,30273,,20,0,0,0,30093,,20,0,0,0,30263,,20,0,0,0,31022,,5,0,0,0,24862,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2486101,24861,1,,-1,0,1,2,0,1,65,0,10011,,0,0,0,0,24861,,0,0,0,0,30273,,0,0,0,0,30093,,0,0,0,0,30263,,0,0,0,0,31022,,50,0,0,0,24862,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2487100,24871,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,24871,,30,0,0,0,30223,,20,0,0,0,32081,,10,0,0,0,34091,,5,0,0,1,34081,,5,0,0,1,24872,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2487101,24871,1,,-1,0,1,16,0,90,0,0,10011,,0,0,0,0,24871,,0,0,0,0,30223,,0,0,0,0,32081,,0,0,0,0,34091,,0,0,0,1,34081,,-100,0,0,1,24872,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2487102,24871,2,,-1,0,1,16,0,91,0,0,10011,,0,0,0,0,24871,,0,0,0,0,30223,,0,0,0,0,32081,,0,0,0,0,34091,,-100,0,0,1,34081,,0,0,0,1,24872,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
2488100,24881,0,,-1,0,0,0,0,0,0,0,10011,,10,0,0,0,24881,,20,0,0,0,30313,,0,0,0,0,32121,,10,0,0,0,30186,,20,0,0,0,24882,,20,0,0,0,32071,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
