chr_id,lod_distance_1,lod_distance_2,lod_distance_3,lod_distance_4,lod_distance_5,lod_distance_6,lod_distance_7,lod_distance_8,lod_distance_9,lod_distance_10
"chr448",20,65,500,0,0,0,0,0,0,0
"chr485",20,65,500,0,0,0,0,0,0,0
"chr486",20,65,500,0,0,0,0,0,0,0
"chr487",20,65,500,0,0,0,0,0,0,0
"chr488",20,65,500,0,0,0,0,0,0,0
"chr847",0,0,0,0,0,0,0,0,0,0
"chr851",0,0,0,0,0,0,0,0,0,0
"chr852",0,0,0,0,0,0,0,0,0,0
"chr853",0,0,0,0,0,0,0,0,0,0
"chr858",0,0,0,0,0,0,0,0,0,0
"chr873",20,65,500,0,0,0,0,0,0,0
