int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20,string2 21
0,0,0,0,-1,-1,"dep02t0101","dep02t0102","dep02t0103","dep02t0107","dep02t0108","dep02t0201","dep02t0304","dep02t3004","dep02d1301","dep02d1302","dep02d1304","dep02d1407","dep02d5001","dep02d5004","dep02d5005","last"
1000,0,100,0,-1,-1,"","","","","","","","","","","","","","","","last"
2000,0,200,0,-1,-1,"","","","","","","","","","","","","","","","last"
3000,0,300,0,-1,-1,"","","","","","","","","","","","","","","","last"
4000,0,400,0,-1,-1,"","","","","","","","","","","","","","","","last"
30000,0,3000,0,-1,-1,"","","","","","","","","","","","","","","","last"
101000,10000,100,0,-1,-1,"","","","","","","","","","","","","","","","last"
102000,10000,200,0,-1,-1,"","","","","","","","","","","","","","","","last"
103000,10000,300,0,-1,-1,"","","","","","","","","","","","","","","","last"
104000,10000,400,0,-1,-1,"","","","","","","","","","","","","","","","last"
105000,10000,500,0,-1,-1,"","","","","","","","","","","","","","","","last"
106000,10000,600,0,-1,-1,"","","","","","","","","","","","","","","","last"
107000,10000,700,0,-1,-1,"","","","","","","","","","","","","","","","last"
108000,10000,800,0,-1,-1,"","","","","","","","","","","","","","","","last"
109000,10000,900,0,-1,-1,"","","","","","","","","","","","","","","","last"
110000,10000,1000,0,-1,-1,"","","","","","","","","","","","","","","","last"
111000,10000,1100,0,-1,-1,"","","","","","","","","","","","","","","","last"
112000,10000,1200,0,-1,-1,"","","","","","","","","","","","","","","","last"
113000,10000,1300,0,-1,-1,"","","","","","","","","","","","","","","","last"
114000,10000,1400,0,-1,-1,"","","","","","","","","","","","","","","","last"
201000,20000,100,0,-1,-1,"","","","","","","","","","","","","","","","last"
202000,20000,200,0,-1,-1,"","","","","","","","","","","","","","","","last"
203000,20000,300,0,-1,-1,"","","","","","","","","","","","","","","","last"
204000,20000,400,0,-1,-1,"","","","","","","","","","","","","","","","last"
205000,20000,500,0,-1,-1,"","","","","","","","","","","","","","","","last"
206000,20000,600,0,-1,-1,"","","","","","","","","","","","","","","","last"
207000,20000,700,0,-1,-1,"","","","","","","","","","","","","","","","last"
208000,20000,800,0,-1,-1,"","","","","","","","","","","","","","","","last"
1450010,140000,5001,0,-1,-1,"","","","","","","","","","","","","","","","last"
1450020,140000,5002,0,-1,-1,"","","","","","","","","","","","","","","","last"
1450030,140000,5003,0,-1,-1,"","","","","","","","","","","","","","","","last"
1450040,140000,5004,0,-1,-1,"","","","","","","","","","","","","DLCEP2_door_1","","","last"
1450050,140000,5005,0,-1,-1,"","","","","","","","","","","","","DLCEP2_door_1","DLCEP2_doorcol_02","","last"
