int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49
520010,520,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520010,"t3004","dlc_elvmob_02",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","A2028_daft_341","A2028_daft_342","","","","","","",
520020,520,,20,5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520020,"dep02d5001","DLCEP2_door_1",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","A2028_daft_341","A2028_daft_342","","","","","","",
520030,520,,30,6,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520020,"dep02d5004","DLCEP2_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520040,520,,40,10,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520030,"dep02d5001","DLCEP2_door_1",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520050,520,,50,11,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520030,"dep02d5004","",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520060,520,,60,12,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520030,"dep02d5004","DLCEP2_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520070,520,,70,13,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520030,"dep02d5005","",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520080,520,,80,14,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520030,"dep02d5005","",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520090,520,,90,15,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520030,"dep02d5005","",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520100,520,,100,50,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520041,"dep02d5001","DLCEP2_ririmon_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520101,520,,101,50,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520042,"dep02d5001","DLCEP2_sthingmon_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520102,520,,102,50,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520043,"dep02d5001","DLCEP2_goremon_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520103,520,,103,50,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520044,"dep02d5001","DLCEP2_mamemon_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520110,520,,110,19,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520050,"dep02d5001","DLCEP2_door_1",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520120,520,,120,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520050,"dep02d5004","DLCEP2_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520130,520,,130,25,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520060,"dep02d5005","DLCEP2_Black_Crystal_05",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520131,520,,131,25,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520060,"dep02d5005","DLCEP2_Black_Crystal_03",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520132,520,,132,25,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520060,"dep02d5005","DLCEP2_Black_Crystal_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520133,520,,133,25,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520060,"dep02d5005","DLCEP2_Black_Crystal_06",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520140,520,,140,26,27,28,29,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520070,"dep02d5005","evt_0040",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
520150,520,,150,30,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,520070,"dep02d5005","",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
