int32 0,empty 1,empty 2,empty 3,string2 4,int32 5,string2 6,int32 7,float 8,int32 9,int32 10,int32 11,int32 12,bool 13,empty 14
23571,,,,"ef_b_chr357_bs01",1,"",3,0,1,0,0,-1,false,
23572,,,,"ef_b_chr357_bs02",1,"",3,0,1,0,-1,-1,false,
23581,,,,"ef_b_chr358_bs01",1,"",3,0,1,0,0,-1,false,
23582,,,,"ef_b_chr358_bs02",1,"",3,0,1,0,-1,-1,false,
24181,,,,"ef_b_chr418_bs01",1,"",3,0,1,0,-1,-1,false,
24182,,,,"ef_b_chr418_bs02",1,"",3,0,1,0,-1,-1,false,
24321,,,,"ef_b_chr432_bs01",1,"",3,0,1,0,-1,-1,false,
24322,,,,"ef_b_chr432_bs02",1,"",3,0,1,0,-1,-1,false,
24681,,,,"ef_b_chr468_bs01",1,"",3,0,1,0,0,-1,false,
24682,,,,"ef_b_chr468_bs02",1,"",3,0,1,0,0,-1,false,
