int32 0,empty 1,int32 2,empty 3,empty 4,int32 5,empty 6,bool 7,bool 8,bool 9,int32 10,int32 11,float 12,float 13,string2 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,empty 38,int32 39,int32 40,empty 41,int32 42,int32 43
13901,,139,,,13901,,false,false,false,0,20,-1,0.05,"",0,0,6000,540,4280,2310,4200,2190,1920,130,60,0,150,0,150,200,,0,840,6,160,16,0,,0,0,,0,0
40702,,407,,,40702,,false,false,false,0,20,-1,0.05,"",0,0,1747,528,2655,1010,2240,835,500,180,60,0,150,0,150,200,,0,840,6,160,16,0,,0,0,,0,0
67001,,670,,,67001,,false,false,false,0,20,-1,0.05,"",0,0,8260,540,4870,2440,4460,2420,1520,130,60,0,150,0,150,200,,0,840,6,160,16,0,,0,0,,0,0
74503,,745,,,74503,,false,false,false,0,20,-1,0.05,"",0,0,5340,660,5070,2360,4320,2400,2140,130,60,0,150,0,150,200,,0,6640,10,320,32,0,,0,0,,0,0
75402,,754,,,75402,,false,false,false,0,20,-1,0.05,"",0,0,5190,1140,3990,2190,5100,2820,1240,130,60,0,150,0,150,200,,0,6640,10,320,32,0,,0,0,,0,0
83905,,839,,,83905,,false,true,true,0,20,-1,0.05,"",0,0,16820,600,5400,3800,5400,3800,1550,300,60,0,150,0,150,200,,12,20000,10,320,32,0,,0,0,,0,0
85001,,850,,,85001,,false,false,false,0,20,-1,0.05,"",0,0,12030,820,5340,2680,5130,2570,1490,220,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
85002,,850,,,85002,,false,false,false,0,20,-1,0.05,"",0,0,12030,820,4540,2680,4230,2570,1490,220,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
85201,,852,,,85201,,false,false,false,0,20,-1,0.05,"",0,0,9800,660,5120,3000,5450,2750,1300,220,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
85202,,852,,,85202,,false,false,false,0,20,-1,0.05,"",0,0,9800,660,4170,3000,4550,2750,1300,220,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
