int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,bool 7,bool 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,empty 15,int32 16,empty 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int16 36,int16 37,int32 38,int8 39,int8 40,int8 41,int8 42,int8 43,int8 44,int16 45,int32 46,int32 47,empty 48,int16 49,int16 50,empty 51,int32 52,empty 53,int32 54,empty 55,int32 56,empty 57,int32 58,empty 59,int32 60,int32 61,empty 62,int32 63,int32 64,empty 65,int32 66,empty 67,int32 68,empty 69,int32 70,empty 71,string2 72
23571,,,,23571,0,23571,true,true,30011,3,1,23571,,0,,12002,,0,,0,2,1,90,100,1,0,3,0,24,-1,-1,-1,5,1,1,260,5,0,0,100,1,5,0,0,0,10,2,,20,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
23572,,,,23572,0,23572,true,true,30101,4,1,23572,,0,,12004,,0,,0,2,1,100,100,1,0,0,2,13,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
23581,,,,23581,0,23581,true,true,30251,3,1,23581,,0,,12011,,0,,0,2,1,105,100,1,0,0,9,38,-1,-1,-1,1,1,1,215,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
23582,,,,23582,0,23582,true,true,30251,4,1,23582,,0,,12011,,0,,0,2,2,90,100,1,0,0,9,41,-1,-1,-1,1,1,1,245,5,0,0,100,1,5,0,0,0,3,2,,2,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
23583,,,,34011,0,0,true,false,0,2,1,12001,,0,,34011,,0,,1,5,0,0,100,0,0,0,-1,-1,-1,-1,12,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,23583,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24181,,,,24181,0,24181,true,true,30251,3,1,24181,,0,,12011,,0,,0,2,1,55,100,1,0,0,9,40,-1,-1,-1,5,1,1,305,5,0,1,100,1,5,0,0,0,0,0,,0,0,,0,,138020,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24182,,,,24182,0,24182,true,true,30191,4,1,24182,,0,,12009,,0,,0,2,1,30,100,1,0,0,7,35,-1,-1,-1,1,3,3,250,5,0,0,100,1,15,0,0,0,0,5,,0,10,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24321,,,,24321,0,24321,true,true,30131,4,1,24322,,0,,12011,,0,,0,2,2,95,100,1,0,0,9,19,-1,-1,-1,1,1,1,215,5,0,0,100,1,5,0,0,0,0,5,,0,20,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24322,,,,24322,0,24322,true,true,30251,3,1,24321,,0,,12007,,0,,0,2,1,100,100,1,0,0,5,21,-1,-1,-1,1,1,1,215,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24496,,,,24491,0,24496,true,true,30281,3,1,24491,,0,,12012,,0,,0,2,1,45,100,1,0,0,10,7,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,8,,0,30,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24497,,,,24497,0,24497,true,false,0,2,1,12001,,0,,31042,,0,,1,4,0,0,100,0,0,0,-1,-1,-1,-1,12,10,1,1,25,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,0,,0,,114100,,0,-1,,0,-1,,-1,,-1,,-1,,""
24498,,,,34051,0,24498,true,false,0,2,1,12001,,0,,0,,0,,1,5,0,0,100,0,0,0,-1,-1,-1,-1,12,10,1,1,200,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,583926,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24499,,,,34061,0,24499,true,false,0,2,1,12001,,0,,0,,0,,1,5,0,0,100,0,0,0,-1,-1,-1,-1,12,10,1,1,200,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,583927,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24681,,,,24681,0,24681,true,true,30221,3,1,24681,,0,,12008,,0,,0,2,1,12,100,1,0,0,6,8,-1,-1,-1,1,8,8,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24682,,,,24682,0,24682,true,true,30221,4,1,24682,,0,,12011,,0,,0,2,1,100,100,1,0,0,9,19,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
28931,,,,24492,0,28931,true,true,30311,4,1,24492,,0,,12002,,0,,0,2,1,80,100,1,0,0,0,8,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,24492,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
51002,,,,51002,-1,0,true,false,0,16,1,0,,0,,0,,0,,0,0,0,0,100,0,0,0,0,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,"battle_skill_idle"
