id,empty_001,char_key,chr_id,stage_id,personality_id,type_id,res_null,res_fire,res_water,res_ice,res_grass,res_wind,res_elec,res_ground,res_steel,res_light,res_dark,empty_018,trait_flag_01,trait_flag_02,trait_flag_03,trait_flag_04,trait_flag_05,trait_flag_06,trait_flag_07,trait_flag_08,trait_flag_09,trait_flag_10,trait_flag_11,trait_flag_12,trait_flag_13,trait_flag_14,trait_flag_15,trait_flag_16,trait_flag_17,trait_flag_18,trait_flag_19,trait_flag_20,trait_flag_21,trait_flag_22,trait_flag_23,trait_flag_24,trait_flag_25,trait_flag_26,trait_flag_27,trait_flag_28,trait_flag_29,trait_flag_30,trait_flag_31,trait_flag_32,unk_int32_051,trait_flag_33,trait_flag_34,trait_flag_35,trait_flag_36,trait_flag_37,trait_flag_38,trait_flag_39,trait_flag_40,trait_flag_41,base_personality,unk_int32_062,unk_int32_063,base_hp,base_sp,base_atk,base_def,base_int,base_spi,base_spd,growth_pattern_id,signature_skill_01_id,signature_skill_01_empty,signature_skill_01_slot,signature_skill_02_id,signature_skill_02_empty,signature_skill_02_slot,signature_skill_03_id,signature_skill_03_empty,signature_skill_03_slot,signature_skill_04_id,signature_skill_04_empty,signature_skill_04_slot,signature_skill_05_id,signature_skill_05_empty,signature_skill_05_slot,signature_skill_06_id,signature_skill_06_empty,signature_skill_06_slot,signature_skill_07_id,signature_skill_07_empty,signature_skill_07_slot,signature_skill_08_id,signature_skill_08_empty,signature_skill_08_slot,signature_skill_09_id,signature_skill_09_empty,signature_skill_09_slot,signature_skill_10_id,signature_skill_10_empty,signature_skill_10_slot,signature_skill_11_id,signature_skill_11_empty,signature_skill_11_slot,signature_skill_12_id,signature_skill_12_empty,signature_skill_12_slot,generic_skill_01_id,generic_skill_01_empty,generic_skill_01_level,generic_skill_02_id,generic_skill_02_empty,generic_skill_02_level,generic_skill_03_id,generic_skill_03_empty,generic_skill_03_level,generic_skill_04_id,generic_skill_04_empty,generic_skill_04_level,unknown_after_generic_skills,model_type,animation_set,unknown_float_123,unknown_bool_124,unknown_bool_125,unk_int32_126,empty_127,unk_int32_128,unk_int32_129,unk_int32_130,field_guide_id,script_id,unk_int32_133,unk_int32_134,unk_int32_135
357,,"char_OMEGAMON-X","chr357",7,0,0,0,3,0,3,0,1,0,1,3,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,2156,792,1430,1070,1165,940,970,1,23571,,1,23572,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34031,,2,32091,,30,32111,,50,31061,,70,4,2,3,0,true,false,20881,,206,214,227,467,357,-1,0,-1
358,,"char_DUKEMON_X","chr358",6,0,2,0,0,0,0,0,1,0,0,3,3,1,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,1736,872,860,855,1075,865,820,4,23581,,1,23582,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32071,,2,32091,,25,30223,,40,34081,,60,3,2,3,0,true,false,21261,,242,243,255,466,358,-1,0,-1
418,,"char_ULFORCEVDRAMON_X","chr418",6,0,0,0,1,0,0,0,3,1,3,0,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,2009,928,1080,560,700,665,1205,7,24181,,1,24182,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32121,,2,30253,,25,30213,,40,32111,,60,3,2,3,0,true,false,24171,,62,112,173,463,418,-1,0,-1
432,,"char_MAGNAMON_X","chr432",6,0,0,1,0,0,0,0,0,3,0,3,0,1,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,1372,656,990,1250,975,820,735,1,24321,,1,24322,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32091,,2,30193,,25,34041,,40,32121,,55,3,2,3,0,true,false,23821,,240,220,79,464,432,-1,0,-1
468,,"char_JESMON_X","chr468",6,0,1,1,3,0,1,0,0,3,0,0,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,11,1,99,1645,816,1165,905,805,775,950,7,24681,,1,24682,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32121,,2,30013,,25,32071,,40,30033,,60,3,2,3,0,true,false,27491,,226,222,213,465,468,-1,0,-1
850,,"char_JESMON_X_BIG","chr859",6,1,1,1,3,0,1,0,0,3,0,0,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,11,1,99,1645,816,1165,905,805,775,950,7,24681,,1,24682,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32121,,2,30013,,25,32071,,40,30033,,60,3,2,3,0,true,false,27491,,226,222,213,-1,850,-1,0,-1
852,,"char_MAGNAMON_X_BIG","chr857",6,1,0,1,0,0,0,0,0,3,0,3,0,1,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,1372,656,990,1250,975,820,735,1,24321,,1,24322,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32091,,2,30193,,25,34041,,40,32121,,55,3,2,3,0,true,false,23821,,240,220,79,-1,852,-1,0,-1
853,,"char_ULFORCEVDRAMON_X_BIG","chr856",6,1,0,0,1,0,0,0,3,1,3,0,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,2008,928,1080,560,700,665,1205,7,24181,,1,24182,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32121,,2,30253,,25,30213,,40,32111,,60,3,2,3,0,true,false,24171,,62,112,173,-1,853,-1,0,-1
854,,"char_DUKEMON_X_BIG","chr855",6,1,2,0,0,0,0,0,1,0,0,3,3,1,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,1736,872,860,855,1075,865,820,4,23581,,1,23582,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32071,,2,32091,,25,30223,,40,34081,,60,3,2,3,0,true,false,21261,,242,243,255,-1,854,-1,0,-1
855,,"char_OMEGAMON-X_BIG","chr854",7,1,0,0,3,0,3,0,1,0,1,3,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,2156,792,1430,1070,1165,940,970,1,23571,,1,23572,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34031,,2,32091,,30,32111,,50,31061,,70,4,2,3,0,true,false,20881,,206,214,227,-1,855,-1,0,-1
